,Survey_ID,p_change,r_effect,black,white,native,asian,hawaiian,other_race,unsure_race,latinx,age,gender
6597,6598,i didnt care when i was in the streets i didnt understand what i lost when i was in the streets now i want to be better then i was when i was in the streets i want to do all i can to help and i hope i dont get lost again,in prison its all about knowing who you are something i may had not knew once i was in the streets i was lost and sometimes still is lost so looking back and understanding who you are keep you on the right track to know how you want to better yourself in life,True,False,False,False,False,False,False,False,26-35,Man
7511,7512,yes i originally the political engagement of as an option but now view it as an obligation and duty,a great deal for some people the constitutional opening of we the people is solely in reference to their people and so it is my duty to consider my people in the conversation of what it to be,True,False,False,False,False,False,False,False,36-45,Man
4012,4013,i pay more attention to people who support prison reform,its hard to explain,True,False,False,False,False,False,False,False,46-55,Man
7590,7591,yes i never attention to politics prior to entering prison i didnt understand politics and didnt think politics were for black people,somewhat i feel people who express their do not identify with me and my race therefore my are affected because of my race,True,False,False,False,False,False,False,False,36-45,Man
4115,4116,because i am for a crime that actually 100 innocent of i have become interested in finding out who will hold the corrupt who wrongfully me responsible and who will oversee these people who think that they are above the constitutional that are suppose to protect poor people like me who can prove without a shadow of doubt that i was by the dirty of the prosecution who knowingly used false evidence to obtain a conviction turning our judicial system into a climate of corruption,i see no color when it comes to doing right and you stand for justice and do right by your fellow man or you are doing the work of the devil,True,False,False,False,False,False,False,False,46-55,Man
5583,5584,i see more racial and get lowly than other race,yes,True,False,False,False,False,True,False,False,18-25,Man
874,875,yes now i see both sides,i feel like been a i got a higher change of coming of my way of up,True,False,False,False,False,False,False,False,36-45,Man
3101,3102,because now i see the importance of and if you will each candidate and what they truly stand for,a great deal for the there is little to no voice in our the political landscape today,True,False,False,False,False,False,False,False,46-55,Man
2358,2359,news,i dont think race should matter,True,True,True,True,True,False,False,True,18-25,Man
7501,7502,yes they have gotten and i know that their are really no you vote along your moral and situational whats best for you and your family generally your thinking,somewhat as an i know throughout my lifetime 1973 dob have to as i educate myself and mature i understand that advocate for what their narrative,True,False,False,False,False,False,False,False,46-55,Man
2306,2307,i never really attention to politics and kept up with them being and watching the news daily i know have regarding them,not sure,True,False,False,False,False,False,False,False,18-25,Man
4021,4022,only on some thin,you are what u eat right,True,False,True,False,False,False,False,False,46-55,Man
1227,1228,i chose yes because i have gotten wiser,na,True,False,False,False,False,False,False,False,18-25,Man
807,808,my view about the prison system in is against the system that suppose to help me and make me a better person the people we vote in do not care about us who a lot of time or little they just lock us up and make us work for free while they make money off us and our we should get and training and education and life no matter how much time we got to do,i dont let my heritage form my opinion about whats right or wrong,True,False,False,False,False,False,False,False,36-45,Man
5369,5370,i am more to the it me understand how important it is the vote when your voice is taken because of a mistake that led to incarceration lastly when become the you understand why the government doesnt want you to vote to negate the of those they feel are less than and delinquent as if we still arent people in that it me more vigorous in wanting pur on but especially the corrupt judicial system,i try to be more inclusive in of understanding and when it comes to the conversation of politics and not use my race as a crutch or basis for political stance but you cant help but identify race as a reason behind the way people are and policy enforcement,True,False,False,False,False,False,False,False,26-35,Man
1018,1019,paying more attention now,some people think their better than,True,False,False,False,False,False,False,False,46-55,Man
2975,2976,yes i was 19years old when i caught this charge and i was unfamiliar with the or anything and they basically had their way with me in the court room i was vulnerable i sold ten 10 worth of and they gave me 30years for it this is my first time ever being in prison,a great deal because classified as and it is a lot of discrimination going on against the above,True,False,False,False,False,True,False,False,26-35,Man
4472,4473,more informed so form a opinion,prison,True,True,False,False,False,False,False,False,18-25,Man
471,472,i went from being a casual observer to doing in depth and research and coming to the conclusion that i was a independent moderate i believe in balance and compromise i agree with the conservative platform of being fiscally responsible lowering and keeping government out of our everyday life however i disagree with the conservative ideology of yourself up by your because there are when people do need a hand up and not necessarily a hand out i somewhat disagree on their economical concept of the trickle down effect have repeatedly shown that when do good go to the stock and board and not so much to the everyday working class average joe i agree with the liberal platform of government correcting the of society but not so much in leftist platform of tearing down the government and starting completely over since then my political have even more i now identity myself as a liberal democrat the,as a black man in the united my racial identity a great deal of my for example i look at the republican party and see a majority of older white men and it is hard for me to believe that they have my best interest at heart as a black man when i see the democratic party it a bit more inclusive with native black men and also i see openly gay and bisexual and and that party more of what like or should look like to me it is my belief that president trump was because a lot white people fear that their racial identity is under attack and their culture is slowly being erased by the browning of and that is the main reason he is so tough on illegal immigration most tend to vote with the and cracking down on illegal immigration is one way to ensure that whites keep the upper hand in this country when the president make great again i dont know what era h,True,False,False,False,False,False,False,False,36-45,Man
6593,6594,before i came yo prison i never know anything about political or care about them but being i have had of time to learn about the different party and understand who is trying to help who,because no matter the color of your skin everybody should have a,True,False,False,False,False,False,False,False,26-35,Man
5044,5045,how the public is about and my growing how poverty in ways,politics in the domain of our identity as long as to encompass employment race politics will subsist,True,False,False,False,False,False,False,False,36-45,Man
5957,5958,yes i see that trump is a very bad man,a black man and they about me,True,False,False,False,False,False,False,False,18-25,Man
5672,5673,i cant at this time,because,True,True,True,False,True,True,False,True,26-35,Man
1229,1230,i cant,dont know,True,False,False,False,False,False,False,False,18-25,Man
4757,4758,over the from just the time to be more engage into the politics i was raised up to be an yet the more attention gave over time brought me to the reality of the pettiness by the and even now more the ever their are out the window with all the madness keep up these past few,the politics that take play within this prison system depending on your location more serious then,True,False,False,False,False,False,False,False,36-45,Man
2746,2747,yes i have the time to listen and conduct a personal analysis of whats real and whats not,somewhat this country is interested in ways to continue its of certain as inhuman,True,False,False,False,False,False,False,False,56-65,Man
3126,3127,yea cause it really me want to vote now cause i never a day in my life,black matter to,True,False,False,False,False,False,False,False,26-35,Man
6712,6713,i use to think that the had the best interest at heart until i learned more about the political when they and who was part of them,the government white society always been afraid of black now that it is their more and more they now want in the criminal justice system,True,False,False,False,False,False,False,False,56-65,Man
7544,7545,yes the older i got the more i understand my community and civil business,a great deal poor people have different some some smart,True,False,False,True,False,False,False,False,36-45,Man
4883,4884,i have more knowledge about how my life is by political make if they know i can vote or my voice it may change how they make,i feel as being that i face more with law enforcement i have a positive attitude with what is being on the news its difficult to believe i have support of law enforcement to make a better life for myself i think i can do better with regular than law enforcement,True,False,False,False,False,False,False,False,26-35,Man
7895,7896,no,not sure,True,True,False,False,False,False,False,False,36-45,Woman
2992,2993,no,not at all my race dont have anything to do with the way i look at whats going on in politics of the way i look at or view them,True,False,False,False,False,False,False,False,46-55,Man
3779,3780,being my political in many ways one way is in how the is on the inside the fact that mass incarceration is this go to for dealing with simple such as marijuana child support and traffic not to mention since being locked up i tend to pay more attention to whats happening in society and how to effect change,my my political a great deal because this country was upon racial discrimination majority of this population is colored and yet are seen as the minority and when it comes to the that are being made on behalf of the people it is the minority that are adversely due to these minority little to no effective representation in the political arena and being of ancestry cultured in a country that deliberately done all it can to strip us of our heritage my concern political and are not just for the bit more so for the black population,True,False,False,False,False,True,False,False,36-45,Man
4984,4985,i know more i to care more,if your black some people dont,True,False,False,False,False,False,False,False,18-25,Man
5816,5817,i use to think it matter now i know it dont,i am a man so whom every i like that for me,True,False,False,False,False,False,False,False,36-45,Man
184,185,i think it should be someone in their care for their and is willing to help in all,not interest,True,False,False,False,False,False,False,False,36-45,Woman
6035,6036,because i want my country to get a right president,because they tend to only to non colored,True,False,True,False,False,False,False,False,18-25,Man
7519,7520,yes i did not realize that were as which should allow them to vote as such this now myself,a great deal along with have always had to use the judicial system to receive basic equal,True,False,False,False,False,False,False,False,46-55,Man
379,380,and aint period by bill still himself the question why do love me so much after the straightforward genocide,i am a black man being caught up in the industrial prison complex i am probably in your portfolio this hook up for a profitable investment slavery especially people of color source have a good round up and name it operation tough on crime,True,False,False,False,False,False,False,False,66+,Man
3897,3898,i as a before and then as the went by i see from an inside looking out view and seeing what they really represent and removing my racial identity from the equation and maturing and wanting certain stopped or,when forming about political i try to exclude the fact that black so as not to be,True,False,True,False,False,False,False,False,26-35,Man
16,17,i see now that they really do not care,because its like they do not really see color,True,False,False,False,False,False,False,False,18-25,Woman
4128,4129,change because the outcome of my sentence and how the been by the,while other people dont effect my then other side is political outcome is not equal to all colors,True,False,True,False,False,False,False,False,26-35,Man
7586,7587,yes i feel do themselves a disservice by not embracing the by the political that have in the last forty or so moreover my political view concerning the right of life of the unborn certainly since my personal encounter with the lord,a great deal the disparity in our punishment for criminal and parole release i feel is directly related to race bias,True,False,False,False,False,False,False,False,66+,Man
7863,7864,yes before it didnt seem like our vote dont count,a great deal not enough of my hue arent coming out to vote to overcome our decision whose telling truth get our vote,True,False,False,False,False,False,False,False,36-45,Man
8146,8147,i just want to get some to finish my movie,if i was white loke my i been out time ago,True,False,False,False,False,True,False,True,18-25,Man
1174,1175,yes,wrong for doing it,True,False,False,False,False,False,False,False,36-45,Man
5607,5608,the system is a private interest and to acknowledge the real that lie under the and their fail to actually help or us post release is a violation5th to the felon who never a chance to challenge the parole contract,the fact that native were and were it hard to visualize the constitution as a source of redemption for the that the country to correct,True,True,True,False,False,False,False,False,36-45,Man
4882,4883,i used not really care,it on how you were raised,True,True,False,True,False,False,False,False,18-25,Man
7538,7539,yes i believe there is no difference between where i once there were i believe they all are being by a few white men and are their agenda,a great deal i am an male sense crow era have been to suppress me all by its hard to trust most,True,False,False,False,False,False,False,False,46-55,Man
4881,4882,i think more,a lot,True,False,False,False,False,False,False,False,46-55,Man
4659,4660,i have a lot more knowledge about there for i see,your racial identity is a responsibility yet at the same time you must not be blinded by your racial identity from seeing whats right and true,True,False,False,False,False,False,False,False,26-35,Man
1563,1564,yes but the majority of that to a president since been not very presidential a division in our society made it normal to lie play the blame shift game and operate from a position of double no self awareness and on and the reason is simple i am not who i used to be i have grown i have i have become wise certain are just automatically added and when this,because i dont think on the level of most of my i have a realistic understanding of life the world literacy rate in prison economic background growth development and the lack and other relevant that usually determine and i represent the educated well raised black male who really had no need or reason to end up in this environment but now and all of the self esteem and peer pressure related that take hold to young male when there is no father in the picture early on which also in turn wrong turns in life from pressure seeking void and wanting to fit in and obtain acceptance from so therefore i have against every characteristic that my thinking and character and have purposely change on a complete level most people around me dont understand even the of political conversation let alone such as plausible,True,False,False,False,False,False,False,False,36-45,Man
5587,5588,more in to it,every body look at in black in white,True,False,False,False,False,False,False,False,26-35,Woman
403,404,i came to prison at 19 old therefore i did not have my own political concept i the of my family and environment now that i have made my transition from a male to a man i learned how to individualize my through the process to study to show thyself approval,to me the color of my skin does not have anything to do with my political but my skin color does have something to do with how i am by them,True,False,False,False,False,False,False,False,26-35,Man
1626,1627,its more of an educated view now,i dont see how race,True,False,False,False,False,False,False,False,46-55,Man
4195,4196,well after becoming informed my political stance from democratic to republican due to my understanding of our economic situation in being greatly affected by our abuse of government aide,in prison tend to be a little more centered around race and race and class will always be of issue in and therefore we need to be informed of what our world personally therefore individually,True,False,False,False,False,False,False,True,36-45,Man
1921,1922,in the world,hydrologic looking,True,False,False,False,False,False,False,False,26-35,Man
7166,7167,being locked up just a recidivism rate that goes up not down,because black in,True,False,True,False,False,True,False,False,26-35,Man
1455,1456,i pay more attention to politics,its about even,True,False,False,False,False,False,False,False,26-35,Man
5782,5783,as a young man coming into the system i had no concern about the politics that the dos and of my life since coming to prison i taking notice of the economical statistics and worldly of my fellow people,my racial ethics have to do with my my in prison my political are based off the knowledge i come learn more about the system and what and it me and the people of my society,True,True,False,False,False,True,False,False,36-45,Man
1099,1100,realize that certain are unfair and need tobe,not sure i the question,True,True,True,False,False,True,False,False,46-55,Gender non-conforming or non-binary or other
3286,3287,become a republican,a black man in,True,False,False,False,False,False,False,False,46-55,Man
4071,4072,now that are decided that have a direct affect upon have a more direct affect on me so it cause me to pay more attention to law and the people making them,because that in legislature are applied differently in prison to your racial identity,True,False,False,False,False,True,False,False,26-35,Man
3971,3972,well i have been since i was twenty old and before then i for basically because i him to be the first black president and people were him to so i to vote because of that it was the first and last time i older now and maturer the that i look for in a are a lot now i could care less whether your black white or blue i just someone who to prison reform and restoration of broken and be more to the idea of a prisoner who can change,because when i see the news and based on race and over i just see lots of head but no action being put forth after i see people who look like me for me to a crowd of people who dont look like or relate to my background and pain that came with it so i take this point of view with me when i hear or see people bring up these of big,True,False,False,False,False,False,False,False,26-35,Man
630,631,yes but what good are they when you cant vote,race is not the problem were facing we have to get from be side our and put one another first,True,False,False,False,False,False,True,False,36-45,Man
4997,4998,i have more insight and information with more time for self,we support our in a democratical,True,False,True,False,False,True,True,False,26-35,Man
4010,4011,because of the injustice in the justice system,because of how much are made to to affect a demographic of,True,False,False,False,False,False,False,False,36-45,Man
4636,4637,yes because i feel as if been on my case i made one wrong choice now i will suffer for it for the rest of my life not right at all,not sure what the question is,True,True,True,False,True,True,True,False,26-35,Man
601,602,it me want to vote more,because black people are different,True,True,True,False,False,True,False,False,46-55,Woman
3553,3554,i feel like they tell us one thing and do a other,really watch of it,True,False,False,False,False,False,False,False,18-25,Man
3942,3943,i care more about prison and justice reform now that it wronged me,i ride with whatever person is to do that help me and my family and,True,True,False,False,False,False,False,False,26-35,Man
1731,1732,first off i never knew were a revolving door nor did i know that parole is a set up to fail system,right is right wrong is wrong regardless of racial identity,True,True,False,False,False,False,False,False,36-45,Woman
8240,8241,the punishment sometimes is too harsh for the crime,as a black man considered guilty no matter what,True,False,False,False,False,False,False,False,36-45,Man
343,344,at first i had no political view know i try to stay informed and watch what is being done for the people,when the kneeling during the national anthem an issue i was able to understand the purpose of why those of descent was doing it as my could not comprehend that it was not a way of but showing that if justice equality freedom liberty and all the that the anthem stood for was not being practiced it should be shown and expressed,True,False,False,False,False,False,False,False,46-55,Man
4277,4278,yes,black and my skin color everything to do with it,True,False,False,False,False,True,False,True,18-25,Prefer not to say
4243,4244,yes i now realize that the government of is concern about its whom are they want to help us succeed upon release i admire trump for his stand on prison reform,that is a good question based on the information acquired through the media and personal the community have to work fives times as hard to get ahead in we have to work harder than white men to be from prison whom commit the same as white men have to do more time to prove that their ready to society,True,False,False,False,False,False,False,False,36-45,Man
8044,8045,not really,well my race dont really matter sometimes it does,True,False,False,False,False,False,False,False,26-35,Man
1108,1109,we all can make a difference,the way the system is set up if your a certain race its gone be hard for you whatever prison you in,True,False,False,False,False,False,False,False,26-35,Man
799,800,i look at in a totally positive way,i feel we all as a community should stick together,True,False,False,False,False,False,False,False,26-35,Man
6318,6319,i am less of a traditionalist and more versed in civil criminal and constitutional law been doing more and reading thus have grown more informed,i am obviously an opponent of racism racist and systemic discriminatory politics or by public,True,False,True,False,False,True,False,False,36-45,Man
4602,4603,yes because i am a person thats that but with me being in the system since i was 18 an now 29 prison reform could of me ago but it was never a topic of discussion the i have seen an how i was instead of out my time just me to push to get my high school diploma which in the of my time they kept telling me that my sentence was too long for me to get my diploma an its now 2019 i finally was able to apply myself an get i can only imagine the that dont have the motivation to keep focus or the opportunity to better they self because the system in 2019 still no or the people with the or the training to help the people thats so whoever read this please help us,theres people in prison thats hanging they self because there is no hope an for the thats completely they are in a prison system that correction but it correct your because theres a rule book thats so out but it to be an that dont prepare for getting out all it is that take you away form your family by taking good time for like giving your neighbor a noodle or something to eat because they are less fortunate because we work over 8 a day for 60cents a day plus they charge us which goes up every few so its a struggle to survive an people lose hope an the sight of reality because its hard to yourself we have no one to highlight whats going on an what your family is going in the prison system so we hope you read this an help us,True,False,False,False,False,False,False,False,26-35,Man
2883,2884,i would say that my particular political have drastically due to my current as a prisoner in criminal justice system is the most corrupt in the country and should be put under a microscope,although people of color such as myself are still heavily against in today i believe in one1 race the human race,True,False,False,False,False,False,False,False,18-25,Man
3447,3448,it made me want to vote knowing that my one vote can make a difference in life and future,black and we are different from the white people in here of are done in here that the outside world dont know about but you learn to keep your mouth shut or it worse,True,False,False,False,False,False,False,False,46-55,Woman
4895,4896,no comment,no comment,True,False,False,False,False,False,False,False,36-45,Man
5163,5164,itreallyhaventchangedmuch1,unfairley9,True,False,False,False,False,False,False,False,56-65,Man
7573,7574,no,a great deal since growing up in the 60s and seeing how are now its sad,True,False,False,False,False,False,False,False,56-65,Woman
7248,7249,yea,be,True,True,True,True,True,True,True,True,26-35,Man
691,692,our deserve to be and we have built majority of this country a number yet our dont count,my racial identity no voice inside prison in here i am not a citizen a slave,True,False,False,False,False,False,False,False,26-35,Man
482,483,yes because so much since been in the political party,because in prison sometimes you are based upon your race or nationality,True,False,False,False,False,False,False,False,36-45,Man
3601,3602,more interested,black so it is hard for to take us serious when it comes to us wanting to be in politics,True,False,False,False,False,False,False,False,18-25,Man
6321,6322,i have a harder view on after this election and this incarceration,being a different race from white your view on certain no big explanation necessary,True,False,False,False,False,False,False,True,26-35,Man
2741,2742,yes not being accountable,somewhat not being equally under our system of,True,False,False,False,False,False,False,False,66+,Man
1250,1251,i dont know,i dont know,True,False,False,False,False,True,False,True,26-35,Man
1131,1132,i study more history,mixed so i guess i look at from both,True,True,False,False,False,True,False,True,36-45,Man
2020,2021,now i know more so more educated,not sure race is everything in there supposedly,True,True,False,False,False,False,False,False,26-35,Man
1488,1489,social,social,True,False,False,False,False,False,False,False,26-35,Man
8001,8002,seen from the inside how the system works theres more then good,different affect different classes and,True,False,False,False,False,False,False,False,26-35,Man
4723,4724,the reason how war is,no matter the race that you are,True,False,False,False,False,False,False,False,36-45,Man
5764,5765,since being i have learned to except truth for truth like we so often blame the government and other political but we have and we have and we have constitution and and so forth its our to learn these so to me people are ignorant by choice not by force but i wish not to illuminate nor warn but to self educate,because just because when i look at people i dont see color i see the person for who they are does not mean people think as equal plus due to my color its of ignorance displayed within the culture and way of life,True,False,True,False,False,True,False,False,26-35,Man
71,72,i now listen to both sides before forming an opinion,i rarely allow my race to affect my there is a racial component in most all human,True,False,False,False,False,True,False,False,36-45,Man
316,317,since been i see the republican party doing more to curb the ongoing incarceration trend to help reduce the future trend of needless incarceration for frivolous,the rate of who represent my race show the justice indifference in,True,False,False,False,False,False,False,False,36-45,Man
914,915,made me a better men,cause it dont,True,False,True,False,False,False,False,False,18-25,Man
6608,6609,because i actually watch the news now before i didnt know or understand what was going on,not sure because its certain i like and dont like from both and,True,False,False,False,False,False,False,False,26-35,Man
8,9,to change in my life,they dont tell you nothing they just say anything to leave them alone,True,False,False,False,False,False,False,False,36-45,Woman
6074,6075,yes because i feel like it doesnt help its all about profit and plus its so it example even if a republican is wrong just cause u a republican they dont vote against it same for democrat what happen to if your wrong your wrong i dont care what side on its a load of crap,i been in jail for 4 and all i see is white the same crime done for a white guy he program for us black people a long jail time in i was told by my lawyer any other i would of been gone to trial and have a way better chance i feel like for black people politics or the justice dont treat us fairly if i was white i would be home no matter if my case is a big case i seen a black get 7 for armed robbery but for the white boy said he was on they gave him a program but this cause black i feel like it will be swept under the rug,True,False,False,False,False,False,False,False,26-35,Man
3175,3176,because since being i had the time to think about everything thats going on wrong in the world,i dont know,True,False,False,False,False,False,False,False,26-35,Man
3690,3691,i think about politics differently now than before,my race the problem my economic class is,True,False,False,False,False,False,False,False,26-35,Man
3711,3712,my view is that we all need help in some sort of way so why is it only the rich get off on crime,a simple poor man here today and i strongly feel that we as also deserve some kind of life here inside these and not be to all the that the we are still aswell,True,False,False,False,False,False,False,False,56-65,Man
2921,2922,yes being that on the end of this unjust criminal justice system seen first hand the importance of voting on the municipal state level these are the that affect our directly,somewhat a black man that have had my constitutional on since i was a not 41 with a fresh 20 year bid my are still being,True,False,False,False,False,False,False,False,36-45,Man
4444,4445,i dont feel the same way about all as far as go for some,are understandable and are not,True,False,False,False,False,False,False,False,36-45,Man
1551,1552,since been i have our president openly be he been the reason for terrorist he openly singles out and black people he is going to start something that is going to destroy the these in own majority of our gas in small especially and many of them live inside them what u think they are doing at night sleeping no they are building under these gas they all are connected they all use the same foreign and telling you the own a nice chunk of gas in the us between all of them thats a lot of burning if they all decide to start them just saying,prison is full of racism its into but the reason i say it my political because even in prison whites have more than especially if there are more white at that facility whats even is even if the are predominantly black its the same outcome black people put other black people down just face it every black person to be the better black person than all the other who are around so if and down all the is what it than so be it sadly thats how black people think black trust me i know,True,False,False,False,False,False,False,False,26-35,Man
198,199,my political since being because i have grown a lot since i been being taught me how think first,well i said somewhat because i just feel like that a little i see a lot of that from besides me,True,False,False,False,False,False,False,False,26-35,Man
6019,6020,cause theres of that people dont do for the thats locked up and they done that a long time ago,because trump got money from the,True,False,False,False,False,False,False,False,26-35,Man
3582,3583,well i know a little bit more about how it works,well we are because of race in certain,True,False,False,False,False,False,False,False,36-45,Man
2744,2745,yes i dont trust they never live up to what they say they are going to do and their on black are truly obsolete,a great deal as a black man in i can clearly see are the of black,True,False,False,False,False,False,False,False,56-65,Man
7841,7842,no,a great deal they dont care about us,True,False,False,False,False,False,False,False,36-45,Man
2772,2773,they only care about the rich not the poor,it does not affect its the poor people get the bad end of the stick,True,False,False,False,False,False,False,False,36-45,Man
5017,5018,i see that most people dont know anything about the needs of people and only listen or care to give there voice when something bad happen,i look at a in light of the oppressed and,True,False,False,False,False,True,False,False,46-55,Man
4271,4272,before incarceration i was very ignorant to the of politics on me as an individual and all the i and my family could be subject to on any given day education gun public aid min wage now because 1 been subjected through the judicial and 2 because had time to read sociopolitical more informed of the importance of being knowledgeable and involved in the making of these,i dont a racial bias in my political but i could be unaware of some,True,False,False,False,False,False,False,False,26-35,Man
1225,1226,yes grown more interested,it about race to me its about whats right for all people _ùô_ùôïîïîïî,True,False,False,False,False,False,False,False,26-35,Man
4737,4738,cause i had time to sit and really listen to what they have to say and how they effect us in prison,cause they still treat race different we fill majority of we at the bottom sex get more then in prison,True,False,False,False,False,False,False,False,26-35,Man
2905,2906,yes politics wasnt an interest in my household since being seen how the right can impact our economy before prison i never attention,a great deal there arent a lot of in the lower class that will vote more people of my race should take interest,True,False,False,False,False,False,False,False,26-35,Woman
2268,2269,the far left taken over the moderate left wing by bullying their deceit is this little survey here is in their tactic box of to increase the on their that of of potential remain ignorant about their,like ice cube said is still the,True,False,False,False,False,False,False,False,46-55,Man
1935,1936,no,it black,True,False,False,False,False,False,False,False,26-35,Man
3746,3747,politics are a bunch of people trying to look good for the moment i watch the news and see the second and first chance act in the for people what about the what about violent how many of me do you think will return to prison they let drug and sex off easy but i hurt a man physically under a circumstance i get 180 nobody for a me,a majority of prison is black we are at as if we do not matter if we cannot meet the of an upper classman i believe is alive and being expressed and the that are in the are for whatever reason because of there color i believe it of us i even believe that even though i am all this my will never matter for two 1 i am a black man who done over 11 in prison for a violent crime at my place of residence 2 i am black and am not in the upper of those who care about this survey,True,False,False,False,False,False,False,False,26-35,Man
2895,2896,yes i was not as for people who with substance abuse and that,a great deal i am a black man of a certain age 50 i know how about me i am in protecting my life i matter,True,False,False,False,False,False,False,False,46-55,Man
77,78,now more progressive,a minority and i see the disparity within the criminal justice system,True,False,False,False,False,False,False,False,36-45,Man
5149,5150,yes now that i understand politics is just a conflict between two only concern is their personal agenda,most of us are not blind to the world around we are conscious of bias however many are beyond our control,True,False,False,False,False,False,False,False,66+,Man
3541,3542,in here you or your voice matter the only concern they have of you is if your following the,your race is not what you,False,True,False,False,False,False,False,False,46-55,Man
811,812,people always say its a race thing come on there was a black president,it shouldnt matter what race you are,False,True,False,False,False,False,False,False,46-55,Man
2281,2282,trump is a race trading that should be tried and put on death row punk ass bitch,nigger white they dont mix in prison low will rule the world,False,True,False,False,False,False,False,False,46-55,Man
7000,7001,i havent about politics until being subjected to the unjust running of the montana state prison system,not it doesnt effect my,False,True,False,False,False,False,False,False,46-55,Gender non-conforming or non-binary or other
4112,4113,i would be i have come what the the system being and un fair this is i live right now i care environment but not in the extreme way people are trying to force us i believe in the us worker over the rest i despise the fact that us collude with illegal of the us but accuse falsely of the same we must protect or second and first at all from the class is only at bay because of that little second,i try to look at the and not race but prison 100 racial but the are the in the not whites i do not hate based on race i hate and even me i believe that there to be for my blame race as a way to not have to be accountable for they even lie about and use race as a way to attack who wont kiss their no one in here or society is willing to call out false so this continue to grow and divide,False,True,False,False,False,False,False,False,46-55,Man
