Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
1205,Time,,They have I change because I actually have had a chance to sit down and really see what politics about and how it matters so much,Not sure,,I really don't understand the question,,,,,,,,,,,
3503,Increased importance,,Its more important to me now then what it was,Does doesn't matter,,Doesnt really matter to me what race you still should be able to vite,,,,,,,,,,,
5675,Experience with system,,Becuse of the charge I was given.,,,Because most people do not listen to us because we are lock up and some of us are here on stuff we should not be in prison for and I feel some DA'S should be prosecute a long with the Judges for wrong decision that they made.,,,,,,,,,,,
5537,N/A,,Ok,Na,,Ok,,,,,,,,,,,
4918,Does not believe in the system,,I dont think my opinion count.,,,Im not part of anything important enough to matter.,,,,,,,,,,,
1478,None,,N\A,Na,,N\A,,,,,,,,,,,
4205,Views on political parties,,Republicans dont want prison reform but they make you think that they do,Lacks voice,,We have no voice,,,,,,,,,,,
182,Education,,Well before prison I never researched political views I just listened to family an took on their political views. However I  research issues myself now an come to my own conclusion's predicted upon what my research yielded.,Race does not matter,,"I personally don't feel my racial identity is affected but l'm answering unsure because their may be data to suggest otherwise, that I have not viewed.",,,,,,,,,,,
7501,Believes political vote matters more,,[Yes] I feel more strongly about voting - being I never had the chance before! And I know our voice at the polls could make great strides!,Impacts political preferences,,[A great deal] Im not racist but I'd probably be more sympathetic to laws that's uplifting to my race!,,,,,,,,,,,
1401,Experience in Prison,Education ,I didn't listen to or watch politics before I got incarcerated but after seeing the injustice in the system firsthand it made me want to learn more about the people who make our laws,Na,,N\a,,,,,,,,,,,
1859,Views on politics,,I would like for someone to stand up for what is right not what they think a person deserves unless the crime I murder or rape or other violent charges,Racial differences in prison ,Describes own race,I am African American and I am incarcerated with many other people of my race,,,,,,,,,,,
1015,Increased importance,,I know how important it is,Depends on another factor,,Its depends on what subject you're speaking about,,,,,,,,,,,
4596,Greater understanding,,It has given me a clear view of what america is,Race does not matter,,Color has nothing to do with what the world need of coming together,,,,,,,,,,,
1489,Social experience,,Social,,,Social,,,,,,,,,,,
5814,N/A,,Tfuidvfxf. fhn fd u .b dg g dg. dn fg hhsfs ygjdd d dnjt. f hgf,Na,,Gduurtfgyc. Hvfkjfhdbd.   Cyj ddfo. Yicbgfjdvv.g. hfgdjg.    Bc fd bcb. ngn xcb,,,,,,,,,,,
977,Race/Ethnicity,,"My political views has changed in that prior to my incarceration I'd never noticed the deviations from the established laws and """"constitutional rights"""" when those laws are applied to Blacks vis-ÌÊ-vis other ethnic groups.",System treats different races diffrerent ,,"My racial identity informs my political views in that I see the vast deference in the ways that the judicial and political system apply the laws and politics to BlackAmericans, especially so in the Criminal Justice system.",,,,,,,,,,,
2308,Importance of political voice,,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government.",An issue besides race matters more ,,What matter is whats best for our country as a whole,,,,,,,,,,,
2747,Time,,[Yes] I have the time to listen and conduct a personal analysis of what's real and what's not,US injustice,,[Somewhat] This country is interested in ways to continue its views of certain groups as inhuman,,,,,,,,,,,
6661,None,,No,Na,,Race,,,,,,,,,,,
6073,More aware,,Im more aware of the politics,Personal experience because of race,,You get judge by your skin color,,,,,,,,,,,
1347,Need for change in system,,In order for our free world society to change or Uprise for the betterment of our youth that will carryout the Final results of our future,Na,,,,,,,,,,,,,
6623,Expanded view,,I look at things alot differently,Not sure,,I dont know how to answer,,,,,,,,,,,
2778,View on political parties,,[Yes] I was a liberal Democrat I am not a liberal Republican,Na,,[Not at all] I am mixed white & African American,,,,,,,,,,,
8241,Need for change in system,,The punishment sometimes is too harsh for the crime,Personal experience because of race,Injustice towards Black people ,As a black man Im considered guilty no matter what,,,,,,,,,,,
7597,None,,[No],US injustice,,"[A great deal] America is a racist nation Race wouldn't be an issue if we were all Americans with no prefixes. ie Afro, Latino, White, Asian other",,,,,,,,,,,
4956,Need for change in system,,"""""criminal justice reform"""",,,!!!!! This is a political sickness",,,"""""racial identity inform your political views in prison"""",,,,,,, no more than slavery by a new name, this time all were in the mix!!!",,,,,,,,,,,
6224,View on political parties,,Think about it these Republicans made Donald Trump president of the United Statea of America,An issue besides race,,"The rich are getting richer while the poor suffer from lack of jobs, health care.",,,,,,,,,,,
413,N/a,,Because,Na,,,,,,,,,,,,,
1459,Time,,I've had a lot of time to sit down watch the news and get a better understanding of what's happening in the world,Injustice towards Black people ,,Everybody knees black people are treated a certain way almost anywhere you go due to our history,,,,,,,,,,,
2286,None,,No,Personal experience because of race,Injustice towards Black people ,Im black and everyone is against us in here. I dont like that i cant play cards with other races just because of the color of my skin. I dont like all black people only. Some times.i dont like them but im forced to form some type of friendship just because we are the same race. Not cool,,,,,,,,,,,
7552,Desire to make a difference,,[Yes] I'm learning that I might be able to make a difference for the good,Injustice towards Black people ,Personal experience because of race,[A great deal] There are so many things against me as a Black man,,,,,,,,,,,
4706,Desire to make a difference,Education ,Being incarcerated makes you not only want to change but it kinda of makes you feel like its important for you to be apart of the change and you have nothing but time to educate your-self about stuff that really didnt even matter to you before alot of people who grew up in my neighborhood never expressed or stress to us how important politics are.,Personal experience because of race,Injustice towards Black people ,"As an african american young man I have experienced alot and witnessed alot of injustice in not only this country but in my community and the rest of the world that has influence me to have a certain type of understanding about politics and most of the individuals who built our constitution.We need to acknowldge and revise our constitution if we truly want change thats where it starts and until we are comfortable with taking a good look at it,we will continue to experince and live with consistient issues that was insructful in our colorless pass.

",,,,,,,,,,,
1065,Time,,I actually get to sit down and see how the world really is,Na,,N/a,,,,,,,,,,,
2825,None,,[No],,,[Not at all] No matter my race which is black - African American to problems are still the problems and they should be evident to all despite race.,,,,,,,,,,,
3856,Need for change in system,,I beleave the justice system needs help it has lots of falts.  Like two people can do the same crime and one will get like 3 years and then the other one will get 25 i bleave that everyone should be treated equaly no matter what.,Race doesn't matter,,I dont see race,,,,,,,,,,,
2337,Expanded view,Time,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump,Prison based on race,,Prison is based on race among prison staff snd inmates,,,,,,,,,,,
651,N/A,,MSN dk,Na,,Ndh,,,,,,,,,,,
929,Cares more,,I used to didn't care now I see how it effect everyone,Personal experience because of race,,We are the least important,,,,,,,,,,,
6319,Education,,"I am less of a """"traditionalist"""" and more versed in civil, criminal, and constitutional law. I've been doing more studying and reading, thus, have grown more informed.",opposes racism ,,"I am obviously an opponent of racism, racist, and systemic discriminatory practices withun politics or represented by public officials.",,,,,,,,,,,
3514,View on politics,,Yes,Not sure ,,Not sure,,,,,,,,,,,
631,Importance of political voice,,Yes but what good are they when you can't vote!,An issue besides race,,"Race is not the problem we're facing ,we have to get from be side our selves and put one another first!",,,,,,,,,,,
5251,More aware,,Becuase im becoming aware of politics now.,Lacks experience with politics ,,"I didn't grow up knowing about politics. It was something known, but not studied.",,,,,,,,,,,
1596,Need for change in system,,Criminals and the criminal addictive thinkers could always be a lot more conservative per say!,Lack of representation of race,,"My political views do coincide with my race because ,politics and the lack of representation has robbed my demographic for decades...we have people making laws and policies about and for which govern races and situations that they only have heard about!!There aren't any mansions in the ghetto!!!and no shacks in the suburbs,and that's probably by design!!",,,,,,,,,,,
5542,Cares more,Education ,I want to know what's going on politically.,Not sure ,,I'm not really sure.,,,,,,,,,,,
3169,Believes political vote matters more,Race/Ethnicity ,It has because i became a felon at a young age barley legal to vote now that i can vote that right is taken away from me because im a felon now but im still a citizen of this country so i feel my opion should count even tho i am a black man i feel we are all equal no skin color or mistakes that u have made in the past affect your future that bad if you are willing to change,Personal experience because of race,,Im an Afican American who has been convicted of a felony before so with being said i feel that even tho im an American my opion does not count towards the whites of America today our President in a way is a rascist he speaks down on convicted felons already and with me being a black man its like adding salt to an open wound my opion means very little,,,,,,,,,,,
4533,None,,No,Race should not matter,,"I just need to matter , no matter my color.
",,,,,,,,,,,
3000,None,,[No],Race doesn't matter,,[Not at all] I doesn't matter what race you are. What matters is what you think is right and do I agree.,,,,,,,,,,,
5274,Need for change in system,Race/Ethnicity ,Yes cause as being incarcerated has made me see a need for change in the justice system. For reform in the laws and education for minority communities to realize that voting makes a difference and we need more political leaders of ethnicity.,Personal experience because of minority race,,Being a minority greatly affects the way im viewed. In alot of aspects and changes the opprotunities i can receive.,,,,,,,,,,,
1093,Expanded view,,I now look at things better.,Na,,,,,,,,,,,,,
946,Experience in prison,Need for change in system ,Since being incarcerated my political views have changed a lot because I now realize that having committed an offense is why I am incarcerated. But not being afforded the opportunity to reform or get out is a  systematic processed implemented by governing officials and private businessman who are profiting from my being incarcerated.,Na ,,,,,,,,,,,,,
7560,Need for change in system,,"[Yes] System is broken shattered, but I figure it out along with cycle this time, Along with moral & values of my life",Race doesn't matter,,"[Somewhat[ Because A beautiful intelegent mind, Does not have a race effect being open-minded along with being optimistic I believe sometimes we must have footwork effect",,,,,,,,,,,
3448,Believes political vote matters more,,It has made me want to vote knowing that my one vote can make a difference in everyones life and future.,Personal experience because of minority race,,Im black and we are treated different from the white people in here. Alot of things are done in here that the outside world dont know about. But you learn to keep your mouth shut or it gets worse.,,,,,,,,,,,
410,View on political parties,,I know now that certain political parties are biased against the poor.,Treatment because of race,,When your targeted because of your color life is harder.,,,,,,,,,,,
3603,None,,No opinion,Na,,No opinion,,,,,,,,,,,
5150,Greater understanding,,"Yes!  now that i understand politics,  is just a conflict between two parties, who's only concern is their personal agenda. 
",,,"Most of us are not blind to the world around.  We are conscious of bias situations. However, many circumstances are beyond our control.
",,,,,,,,,,,
4637,Need for change in system,,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all.",Not sure,,Im not sure what the question is asking?,,,,,,,,,,,
3158,View on politics,,This time around it has made me view some indivudials differently,Injustice towards Black people ,,Blacks are being treated unfairly in the judicial systems,,,,,,,,,,,
7858,Interest,,"[Yes] Before incarceration, I wasn't into politics. I felt it didn't matter because whatever happened it wasn't going to benefit my kind of people If we did benefit it would be minimally.",Injustice towards Black people ,,"[A great deal] me being from the poor black community I've noticed how politics have hardly benefited us. If you are black, especially poor black, changes only benefit us if whites/rich whites benefit too.",,,,,,,,,,,
2767,None,,Na,Everything is about race,Personal experience because of race,Everything is about race. Who's for me and my kind? There is no equality. Race is all I am.,,,,,,,,,,,
2776,None,,[No],Na,,[Somewhat] No comment,,,,,,,,,,,
7529,View on political parties,,"[Yes] Although I am a Democrat, I notice that republicans are not so bad. That political view came from the conflict the state versus Federal. Something I did not know. I assume it was all one-together but different branches.",System disparities in race,,"[Somewhat] Well time has change, unlike before but race play a part in politice when it comes to the disparity sentence in our criminal justice",,,,,,,,,,,
1765,Expanded view,,Not been mad about who I am,Na,,I don't know,,,,,,,,,,,
137,Importance of political voice,,Because there's no political voice speaking up for the incarcerated,Misunderstanding about race,,Because of the misunderstandings whites have about people of color.,,,,,,,,,,,
753,Interest,,I was never interested in government or the laws before I got incarcerated but after being incarcerated for over two decades I see how important it is to vote the right lawmakers into office.,Racial differences in prison ,,Prison is a place that is either black or White with no in between and the views from prison makes you side with the party that is more tolerant to your race.,,,,,,,,,,,
942,Believes political vote matters more,,Yes. I believe the my vote can change the way that prisons are ran.,Personal experience because of minority race,Injustice towards Black people ,I'm a black man in world where there is mass incarceration for black people.,,,,,,,,,,,
3602,Interest,,Im more interested,Personal experience because of minority race,Injustice towards Black people ,Im black so it is hard for officials to take us serious when it comes to us wanting to be in politics,,,,,,,,,,,
377,Interest,,Before being locked l had no interest in politics,Races should come together ,,I believe that all race should come together,,,,,,,,,,,
7530,None,,[No],Personal experience because of minority race,,[A great deal] Because I'm Black and this nation find ways to continue slavery,,,,,,,,,,,
1218,None,,No comments,Na,,No comments,,,,,,,,,,,
6687,Experience in prison,Race/Ethnicity ,"Because it getting worser for a person being locked up and getting no help to make them better , plus staff that are white treats the non-white prisoners raicist and constantly setting them up for either being placed in the hole or worst a new case.",racial differences in prison ,,Prison tends to keep race'es separeted so they can be at each others throat.,,,,,,,,,,,
5540,Believes political vote matters more,,"In the end , Saten and all governments accross the world will be no more . But I still want to vote ! _Ù÷Ä",Personal experience because of minority race,,I'm African American !!!,,,,,,,,,,,
4658,View on politics,,Fuck yes,None,,None,,,,,,,,,,,
2770,Time,,"[Yes] Time has made me more optimistic and open to new ideas, people rights and freedoms",Bias due to experience,,[Somewhat] I can be a little partial and bias due to past experiences,,,,,,,,,,,
7752,Education,,[Yes] Read more and not just vote for who ever family & friends say to vote for,,,[Not at all] People of power do what they want to do.,,,,,,,,,,,
3193,Race/Ethnicity,,RACE,Na,,NO COMMIT,,,,,,,,,,,
5535,Experience in prison,,Cause alot of it affects me,Better if white,,Cause if you white its always better for you,,,,,,,,,,,
820,Education,,NeWS,Black peace,,Black peace,,,,,,,,,,,
2878,Desire to make a change,,[Yes] My views have changed because we as a people have to look past our current situation in life and look at the people that can help us as a people or help our love one to better themselfs in life,Personal experience because of minority race,,[A great deal] I'm a young African American man whom have been incarcerated since I was 19 year. and look at all political views from both sides.,,,,,,,,,,,
1058,Belief in freedom of speech,,"My political view's changed because, I strongly believe that everyone has the right to freedom of speech, no matter what the out come is in your current life!
",System disparities in race,,"I'm from Philadelphia so,doing my time here in the south,it's hard at times, because, racism, still exist.... Not to use the race card but, its harder for a non violent black man to achieve his goals,when you have administration holding you back from getting release... With a good institutional jacket to go along with a certification in HVAC!
",,,,,,,,,,,
740,N/A,,I don't have a direct answer,not enouch represenation ,,My race determines my political view even though they claim there is no longer racism there really is the political parties don't have people of none white race best or interest period,,,,,,,,,,,
6609,Education,,Because i actually watch the news now. Before i didnt know or understand what was going on.,Not sure,,Not sure because its certain things i like and dont like from both dems and republicans.,,,,,,,,,,,
4740,Expanded view,,Its gives me another view on how this world really means alot not only that when im gone i wannt my kids to be albe to live life without having to worry about certain things or there skin color,Personal experience because of race,,Because of my skin color its hard to get my point across to certain people.,,,,,,,,,,,
2748,Greater understanding,,[Yes] First I didn't understand the different branches. I still barely understand the constitution and how it applies to goveronment.,Economic disparities between races,,"[Somewhat] I look at the despairity in the economy level, between the Blacks and whites.",,,,,,,,,,,
2899,Pays more attention,,"[Yes] I'll just say this... since my incarceration, I've learned to be more attenative when it comes to politics.",Does not affect views,,[Not at all] It doesn't affect [my race] my political views at all. I try not to get too caught up in the race conversation.,,,,,,,,,,,
78,Change in political ideology,,Now I'm more progressive.,Na,,,,,,,,,,,,,
3554,Experience in prison,,I feel like they tell us one thing and do a other,,,I.dont really watch alot of it,,,,,,,,,,,
7525,Pays more attention,,[Yes] Before coming to prison I didn't have a political view. after being incarcerated my eyes were opened to the injustices on us that made to pay attention to have a view.,People are judged because of race,,[Somewhat] Because most people pre judge by the demographic and things of that nature.,,,,,,,,,,,
814,Education,,I learned more about my original political views in detail and realize I was wrong .,Does not matter,,Race has nothing to do with what I see wrong in the country we live in today . Plus you see it too .,,,,,,,,,,,
583,Experience in prison,,"Now that I can view politics from being a convicted felon, I can now see the lack of understanding or care for incarcerated individuals.",Not enough represenation ,,Most politicians are in the majority whereas I am a minority. They can not relate to the issues I face on a daily basis.,,,,,,,,,,,
6655,Views on politics,,I just want to beable to put the right people in office because it seem to me that its always about money or war or sending people back to they own conurty and or baning them from the usa....,Injustice towards Black people ,,Because blac guys always get taged as gang members,,,,,,,,,,,
7840,None,,Na,Does not matter,,Even though I'm not treated equally people are people to me if you're wrong you're wrong and vice versa no matter the color of your skin,,,,,,,,,,,
4738,Time,,Cause i had time to sit and really listen to what they have to say and how they actions effect us in prison... .,Injustice towards Black people ,,Cause they still treat blacc race different we fill majority of prisons we at the bottom sex offenders get more privilage then blaccs in prison,,,,,,,,,,,
7781,Education,,"[Yes] Before being incarcerated I can't necessarily say I had any political views. I may not still be able to articulate my views exactly, but I am more motivated to learn more about politics and to work toward reforming those issues I deem important.",Personal experience because of race,,[Somewhat] Being of Latin-American descent and having lived around illegal immigrants leads me to sympathize towards open border policies.,,,,,,,,,,,
4384,Importance of political voice,,If more people had a voice maybe there would be changes to benefit the incarcerated,Not involved in politics,,I try to keep away from the polotics,,,,,,,,,,,
7474,None,,[No],Not sure,,[Not sure],,,,,,,,,,,
4589,Race/Ethnicity,,I have realized the idiocracy of the radical left and all of the liberal communist scum.,Personal experience because of race,,"Being a white straight male, liberal america and the democratic party will stop at nothing to eradicate the white american.",,,,,,,,,,,
4911,Need for change in system,,Those peaple in charg do not care,Does not care,,I do not care,,,,,,,,,,,
2969,None,,[No],Personal experience because of minority race,Injustice towards Black people ,[Somewhat] Being a Black man its hard to be successful when you be judge by your skin and not the knowledge you have to offer,,,,,,,,,,,
4163,Education,,"Yes, because will locked up Ive did some research and I see how much political decisions impact the incarcerated and our country.",Depends on how was raised,,"Well im sure my racial identity plays some part because it is the culture i was raised in, but i try not to allow that to influence my political opinion because i believe in diversity.",,,,,,,,,,,
226,Need for change in system,,I had totally different views about the system before I was incarcerated. I thought the system was fair and the cops and prosecutors were righteous - not!!!! They are bigger violators than most of the people they lock up. They just simply don't prosecute themselves or their friends.,,,There is just a mentality that you have to be aware of. You need to be sure about where you stand. Racial identity is different from racism.,,,,,,,,,,,
5489,Change in political ideology,,On somethings like the intensity of drug charges,Does not know,,Dont know much about it,,,,,,,,,,,
1641,Pays more attention,,I follow political issues more since incarcerated however I feel like as a felon will have no say so in matters,Racial differences in prison ,,There is certainly a racial division that exist in prison,,,,,,,,,,,
1049,View on political parties,,My parents always voted Democratic party which is not Wise now days thay are not what that should be that are not for the people ever anymore,An issue besides race,,I wouldn't care if trump was a Mexican he would have my vote the problem is not everything is a race issue but people tend to try to spin it into a race issue there is a thing called reverse racism which is what the blacks have been doing for years,,,,,,,,,,,
4557,Cares more,,Not careing,Does not know,,Dont know,,,,,,,,,,,
