,Primary_Topic_p,Survey_ID,p_change
280,Education and more info,2204,Watching the news
556,Need for change in system,7282,Prison reform and inmate rehabilitatiom
99,More interested,5251,Becuase im becoming aware of politics now.
584,Views on political parties,4060,Seeing the true colors of the parties.
604,Education and more info,3686,"While incarcerated, a person has time to gather knowledge if he or she chooses, pertaining to politics. We learn a lot, see a lot, thus our views change because we have time."
236,Need for change in system,3733,Its b.s. give one his lashings and let him be. Even if he was wornged or in the wrong. His healing can begin and so may his family and society.  There realy is not a line that is good on one side and bad on the other. The them usally start with the power when they were us. That power lead to the corruption that made them them.
717,More interested,4700,"I have become more aware of the political world, which has allowed me to become more open minded about certain situations. "
472,Need for change in system,4536,Please refer to my previous answer.
374,Education and more info,6795,I have more time to research the issues. The librel interpretation of the constitution has also driven me left. Strict construction of the text is in line with conservatives and nobody likes a freewheeler.
730,Views on politicians,612,Yes because of the ways the President does things that are no good for Hispanic people
601,I don't know or I don't feel talking about it,5561,On
567,More interested,8022,I need to vote
352,Education and more info,6760,More time on my hands to watch tv so see more on politics
529,Not changed,7769,[No]
453,More interested,6865,I am more aware of the leftist democrats
12,Views on politics,5202,Yes because there is alot of things that are un fair
186,"Personal life, including religion and race",2788,I am Roman Catholic and cannot support abortion/death penalty by reason of my devout faith
538,Views on politicians,7958,"Now i see that nobody really is on our side. Everyone says they are until they become elected, once that happens they forget all about us"
613,Less interested or less belief in system,2087,I feel that if people like myself n
723,Experience related to prison or justice system,5554,Yes i see the injustice prisoners go threw and i feel no one is doing nothing about it. Thats the reason why iam a big follower of Paul Wright and his team . He publishes the prison legal news newspaper which i get
260,Views on politics,4707,Yes because everything is considered for us people
392,Views on politicians,6036,Because i want my country to get a right president
333,I don't know or I don't feel talking about it,4893,I rsther keep to myself
153,"Personal life, including religion and race",4589,I have realized the idiocracy of the radical left and all of the liberal communist scum.
551,I don't know or I don't feel talking about it,2673,Idk
304,Not changed,4948,No
200,More interested,491,I'm sober now and care about people
761,Need for change in system,2257,How people decide how laws are applied but reall dont understand how much they put.people thru
415,Views on politics,5868,They have
78,Need for change in system,1347,In order for our free world society to change or Uprise for the betterment of our youth that will carryout the Final results of our future
312,Education and more info,8225,Because i watched more news.
722,More interested,3408,"No that thing effect me,i have more intrest in politacal views."
790,Not changed,7565,[No]
42,Education and more info,5611,I want to know what's going on in politics.
133,Experience related to prison or justice system,5535,Cause alot of it affects me
464,More interested,222,I didn't care about politics then
711,Views on political parties,764,Before prison I would've identified with being a Republican  now idk because Republican views frown on convicted felons. IG I'm democrat because I'm a homosexual but idk.
651,More interested,8022,I need to vote
250,"Personal life, including religion and race",2116,Love
565,More interested,3973,"Because before i didn't care enough about political endeavors, i was inmature to understand the vital importance of it."
506,I don't know or I don't feel talking about it,805,Andrew
582,More interested,8194,I think we as a people need to exercise our rights
192,Need for change in system,5308,"You see more of what is wrong with the legal system,and what politics have to do with a lot of the choices our government officals make in behalf of inmates across the country"
220,Education and more info,3912,I've gotten older and more educated
733,Education and more info,5447,I have been able to study further into political leada.
446,Less interested or less belief in system,5589,The people pay there bill so thay work for the people and that is it.
600,Education and more info,6397,Well it give me time to see the news and see it more better by talking to diferent people
30,Not changed,735,No
540,Need for change in system,2665,Yes need to.stop drug trafficking. I here for a dui. First time.in jail and have seen many thungs that this syatem needs to.change
611,Not changed,6438,No
157,Need for change in system,226,I had totally different views about the system before I was incarcerated. I thought the system was fair and the cops and prosecutors were righteous - not!!!! They are bigger violators than most of the people they lock up. They just simply don't prosecute themselves or their friends.
573,Need for change in system,3139,I had respect for the jail system rule but now they lost my respect do to the way they mislead us and the amount of time they keep us here is put of control is like they make up law as they go and abuse them them and not follow them and hang us if we do like it.
272,Education and more info,7545,[Yes] The older I got the more I understand my community and civil business.
795,Education and more info,256,I came to prison when I was 22 years old in 1991 with life with out parole. I had not formed any type of political opinions at the time of my imprisonment. All of my thoughts and opinions have been formed since coming to prison. Even more so since being sentenced to death in 2014.
789,More interested,7971,Yes bevause i lack acknowledgement because i dont have the right to vote
306,More interested,155,"I could have cared less about politics when I was younger. Now I pay more attention to the news and believe that I am better informed to make the decision that I could care less about the politicians that are entrusted with the responsibility of taking care of our country. And we as a country wear our feelings too much on our """"sleeve""""."
449,More interested,4302,"Yes, i have been paying more attention to the government news"
602,Views on politics,7933,Yes
102,More interested,3169,It has because i became a felon at a young age barley legal to vote now that i can vote that right is taken away from me because im a felon now but im still a citizen of this country so i feel my opion should count even tho i am a black man i feel we are all equal no skin color or mistakes that u have made in the past affect your future that bad if you are willing to change
52,Need for change in system,337,Yes because I want laws for the incarcerated to change.
156,Education and more info,4163,"Yes, because will locked up Ive did some research and I see how much political decisions impact the incarcerated and our country."
754,Need for change in system,342,Being in prison let's you see things in a different light. I can see injustice done throughout the justice system in Arkansas. Seems as the courts sentences are not time structured fairly. Examples being downloading and viewing child porn holds as much time as or more time as manslaughter or murder.
402,Views on politics,8242,I dont agree with our law enforcement
523,Views on politics,2273,aALL THE MORE REASON FOR GUN CONTROL!!!
97,Views on politics,3514,Yes
511,Education and more info,7780,[Yes] I now have political views and opinions of how I want things to be. I now understand how politics affect my life
128,More interested,5540,"In the end , Saten and all governments accross the world will be no more . But I still want to vote ! _Ù÷Ä"
378,Not changed,4994,Agian no
177,Less interested or less belief in system,5492,Since being locked up i have started to fear my goverment and lost alot of intrest in politics.
347,Views on political parties,2235,Republicans have the most money and stability. I realize i lack these important things supporting democrat
110,Views on political parties,410,I know now that certain political parties are biased against the poor.
598,Experience related to prison or justice system,4430,Yes it has because im seeing things first hand
379,Need for change in system,4258,Treat people equally.  Spend more time in court the first time and get tjings correct
191,Less interested or less belief in system,1604,Makes me not care
432,I don't know or I don't feel talking about it,8229,Okokok
343,Views on politics,8131,Murder to thos who think wrong obout the goverment....in gods words of speaking...
577,Not changed,1007,No
142,Views on politics,78,Now I'm more progressive.
644,Not changed,229,No
6,Education and more info,588,I have taught myself to become A book writer.
495,Need for change in system,4874,No sex labels no parole no kasper and NO REGISTRATION.
267,Education and more info,2337,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
741,Education and more info,8014,Yes because now i have a more understanding about politicals because i see it every day on the news and how the people suraunding me talk and how it impacts them
237,More interested,4982,My vote maters too
544,"Personal life, including religion and race",1125,Black's don't matter
400,Views on politics,2363,Our gov. Of our great state of cali.knocked alot of time off our sentance for mile stones going to school ect.ect.
383,Need for change in system,4062,Some people are wrong in some inputs
58,Education and more info,1205,They have I change because I actually have had a chance to sit down and really see what politics about and how it matters so much
646,Views on political parties,7554,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country
232,Views on politicians,3529,I feel more strongly torward who the president should be.
732,Views on politics,5426,Yes
658,Less interested or less belief in system,5306,I'm leaving this country like a sailor leaves a sinking ship.
203,More interested,3495,I am more aware of the issues in the world
661,Education and more info,2337,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
284,Views on politics,3263,We all
510,More interested,6337,Now i care
2,Not changed,461,Not really
782,Education and more info,5146,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c"
473,Less interested or less belief in system,6166,Yes and no they are making time harder to do
217,More interested,3373,"I had no political views before, I never followed politics."
360,Education and more info,3819,"It has opened my eyes to alot of things that go on in our society, im not sure if i had political views before being incarcerated, but i have many different views now."
46,Education and more info,6465,It has made me open my eyes to the all around corruption of the political system.
766,Education and more info,814,I learned more about my original political views in detail and realize I was wrong .
422,Need for change in system,3560,In the amount of time spent there has been an outragious number of shooting's due to gun violence a major here.
225,More interested,6624,It is not so much as they have changed as i now realize that the government has more impact on my daily life as a prisoner. I am now more motivated to be involved in lobbying or standing up for the rights of those who do not jave a voice.
18,Views on politics,2414,The laws are getting better
168,Less interested or less belief in system,1503,Same answer on last essay
228,Education and more info,6444,I now understand more about the isuess today i.dont pay attenchion on the streets
292,More interested,4883,I used not really care
377,Views on political parties,2761,"[Yes] I tend now to highly favor the views of Republicans and what they stand for, and their views."
652,Education and more info,113,Is different view
397,Education and more info,3262,More time to sit down and watch news and get answers
227,"Personal life, including religion and race",7048,Yes because im a gang member
670,More interested,3147,Want to help make change
603,More interested,4361,"Because growing up only that, That concerned our community did we care about not who the President is or who going to be next to try and seperate our families"
328,Education and more info,3770,To be honest yes it has changed my political views in the regard that i am so much more informed now. I dont just listen to what others say i am able to do my researh and to learn truely like in the current presidential debates what the canidates for persident really stand for and even more so what i stand for and what i believe we as a country stand for untied
283,Education and more info,1765,Not been mad about who I am
742,Education and more info,1183,I used to say people in prison should be here but being here some people should have a second chance and the system doesn't forgive
