,Survey_ID,p_change,r_effect,black,white,native,asian,hawaiian,other_race,unsure_race,latinx,age,gender,inBTM,fsttopic,sndtopic,trdtopic
39,91,i did not care about much of anything before coming to prison but now i have been thrust into seeing the pain in the hearts of and have been given the love to want to help and a plan on how to do that change needs to come to the way are done and because i see that now do i see the need to vote as more important than the attitude of not that i used to have as the saying goes change to start with me,i have grown to be able to see that all people are people and that we all have and that tend to make us lean certain in our and in that i see the humanity in all and in their humanity i see our humanity what ever the race or culture they and us have basic human needs these needs are what politics should be on not who is party or race but coming together for the ultimate benefit of all individually what ever their needs are in their community and culture to make their part of the world a little better,False,True,False,False,False,False,False,False,36-45,Man,True,topic 2,topic 4,topic 5
40,94,it is simple trump,doe know,True,False,False,False,False,False,False,False,46-55,Man,True,topic 3,topic 6,topic 4
41,95,now,not sure,False,True,False,False,False,False,False,False,46-55,Man,True,topic 5,topic 6,topic 2
42,96,doesnt matter,yes,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 6,topic 2
43,99,because we have to make a great decision on who fit right in place to take care of their business and not lie about,prison staff administration and warden is all on one side,False,True,False,False,False,False,False,False,46-55,Man,True,topic 5,topic 4,topic 3
44,102,not sure its just because it probably more to do with the fact that been here over 25 a lot older i see much differently now as to the idealistic young girl who first the girl who always saw the best in and really were trying to solve the a realist now and realize that the world is never going to be a utopia and are like in a sandbox with two and only one shovel neither bucket is getting filled because they are too busy and over the shovel,i know race can influence a lot of just not sure how my race in on the above question not sure i understand the question we all face the same we all live in the same country we all focus on different i dont believe any one race focus on any one particular issue,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 5,topic 6,topic 2
45,103,before incarceration i was too busy with my and my own to care since had time to slow down without worldly distraction i have come to understand that this is not and it is very important for me to care and to teach my to care,racial identity usually only an effect when the problem racial content,False,True,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 2,topic 5
46,107,i tend to be a little more liberal,my race nothing to do with politics,False,True,True,False,False,True,False,False,36-45,Man,True,topic 6,topic 5,topic 3
47,108,more willing to listen to opposing,we are all based on our race it is unavoidable,False,True,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 1,topic 5
48,111,the president really done good job what he done,it dont matter in here were at,False,True,False,False,False,False,False,False,56-65,Man,True,topic 6,topic 3,topic 5
49,114,i once in gun ownership but when i my abuser with a gun i knew had there not been a gun in our house i would have never him i would have never had the heart to stab him but a gun made it impersonal easy and quick now dead and here also i got locked up in 2003 before school another huge reason i want all,i see justice or injustice i dont see race,False,True,False,False,False,False,False,False,56-65,Woman,True,topic 3,topic 2,topic 6
50,116,i didnt really have a political view or before coming to prison i just never attention to that issue,the content of a character and their constitute the i consider important for me to form an opinion about that person and their world outlook the color of a skin is an issue of biology and is not who a person is or what they know i dont identify by my race its unfortunate that so many do,False,True,False,False,False,False,False,False,46-55,Man,True,topic 2,topic 3,topic 4
51,117,i thought differently about criminal justice now i have seen for myself the unfairness of and many people that are actually mentally ill and locked up without the help they need also this prison is not on rehabilitation it more like a human warehouse i have many of these and am by the time they are serving no matter what the crime people should be given a second chance not a third fourth or fifth chance but a true second chance if they have proven to the authority through their behavior and through their institutional record they deserve a chance to be back with their and to prove they can be a law abiding citizen there to be prison and reform too many are depending on it,i am not racist and i look at the person and not their color with that being said i also feel that was a lousy president and did more to racially divide us than any other president ever he was slick and knew what people to hear where is he today all he about is his and his bottom line,False,True,False,False,False,False,False,False,56-65,Woman,True,topic 6,topic 4,topic 3
52,118,i just honestly feel that me or anyone that is a drug addict should be given treatment for our disease of addiction instead of for several taken from our extra stress on our to tend to our and support us,i dont think racial identity or should have anything to do with political,False,True,False,False,False,True,False,False,26-35,Woman,True,topic 3,topic 5,topic 6
53,119,i stand more on the republican side but still have democratic,i not sure how it in my political view weather white or black i think the should still have say when it comes to our political party,False,False,True,False,False,False,False,False,26-35,Man,True,topic 6,topic 5,topic 3
54,121,i have become more informed since my incarnation because of reading,education of the topic should be the factor not any racial factor,False,True,False,False,False,False,False,False,56-65,Man,True,topic 3,topic 6,topic 2
55,122,i used to believe in the system now i see too much corruption in all,since i am only exposed to main stream media and the other here what i see and hear my and me think the worst not the best of people thus me more on a defensive stance,False,True,True,False,False,False,False,False,46-55,Woman,True,topic 2,topic 3,topic 4
56,123,just needs to change they are profiting off of us we are their livestock,didnt get the,True,False,False,False,False,False,False,False,26-35,Man,True,topic 5,topic 1,topic 2
57,124,i have actually more conservative than i was even though it the opposite would be more likely,i socialize with all in my incarceration more so it than my own,False,True,False,False,False,False,False,False,36-45,Man,True,topic 1,topic 6,topic 4
58,125,because its all always being the same,its a lot of racial thing go on in the world,True,False,False,False,False,False,False,False,36-45,Man,True,topic 5,topic 1,topic 6
59,127,before i got locked up i had no interest in politics or voting now i have more interest in politics because i realize that view and vote,because i believe that people are people regardless of their race,False,True,True,False,False,True,False,False,36-45,Man,True,topic 6,topic 3,topic 1
60,128,yes now i understand how to make a difference starting with myself first i have always been told i could not vote and i know that is a lie i want to have a say so in who should be in what office i want to vote for people that will make for the people and not for there benefit,well here at unit 90 of the are black and are related to a lot of the this is a racist prison also there is so much corruption through out the and when someone comes forth the always lie and cover it up they violate so many or our this is no more than a slave plantation,False,True,False,False,False,False,False,False,36-45,Man,True,topic 5,topic 4,topic 1
61,129,being locked up you different perspective,hard to explain,False,True,True,False,False,False,False,False,46-55,Man,True,topic 1,topic 6,topic 2
62,131,my coming to my faith in my world view which my political,the color of a skin should never be the reason for his politics a faith and the of his family should be his motivation and this only,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 3,topic 6
63,137,because theres no political voice speaking up for the,because of the whites have about people of color,True,False,False,False,False,False,False,False,46-55,Man,True,topic 6,topic 4,topic 3
64,139,i didnt truly have twenty ago it e with time i am not positive if it is from incarceration or just age,i am white and surrounded by an uneducated black population both and security who seem to prefer being able to get to much free from the government at the expense of he tax these are not dumb people mind you only grossly,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 1,topic 3,topic 5
65,141,i now have a more clear view of thing because my mind is right because i have been off and it took at least two of being locked up for my mind to get right,it just does its a very racial environment,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 5,topic 1,topic 3
66,143,since i have down in my life and pay attention to everything going on i wish i had the ability to vote,i look at the not the color i believe as a country we should not use race as a crutch or a label or an automatic reason,False,True,False,False,False,False,False,False,46-55,Man,True,topic 1,topic 3,topic 4
67,144,more liberal now,race always effects perspective,True,False,False,False,False,False,False,False,46-55,Man,True,topic 1,topic 3,topic 4
68,145,when a person a conscientious decision to accept as both lord and savior all change because they are henceforth a that according to the progression of spiritual knowledge and revelation,take the color of your skin up with almighty god all good come down from the father of i will say this the spiritual darkness that the sway over my black and is dark indeed considering that they were and are still the party of black usury and manipulation god bless black by opening their to true freedom from the democratic party,False,False,False,False,False,True,False,False,56-65,Man,True,topic 2,topic 6,topic 5
69,150,i was very young when i got locked up as i have gotten older and watched how horribly wrong everything gotten out there it made me want to get involved and learn more so when i get my second chance i will be able to make a difference,i want someone who my best interest at heart a rich man does not know the of a poor man so if your talking about the color of skin that dont matter to me but the change in his pocket and what he does with it that not talking about what he done with his money since he came into politics talking about what he done with his money in the past before he made the decision to get into politics,False,True,True,False,False,False,False,False,46-55,Woman,True,topic 3,topic 4,topic 6
70,151,people need to be more serious about what is wrong within our country for example mass incarceration homelessness hunger and the ever growing oppression of the poor and the public needs to be aware of how we have turned into a police state and the only way to do this is through our political system thus i am more conscious of politics now more than ever,i really should of said not at all because my color does not effect the way i feel and what i believe and how i view the world,False,True,False,False,False,False,False,False,46-55,Man,True,topic 3,topic 6,topic 5
71,152,the way the law works needs help,like a consultant to every one no matter the race,False,True,False,False,False,False,False,False,56-65,Man,True,topic 1,topic 5,topic 6
72,155,i could have less about politics when i was younger now i pay more attention to the news and believe that i am better informed to make the decision that i could care less about the that are with the responsibility of taking care of our country and we as a country wear our too much on our sleeve,i am mixed and i didnt grow up with some of the that tend to be the case with other i am not saying other arent valid and mine are on point our is the in which we view the world too many times though i have seen what may be the get glossed over because people want to believe what they want to believe it their for why their life the way they want it to be,False,True,True,False,True,False,False,False,46-55,Man,True,topic 5,topic 1,topic 3
73,156,i wish i still,always for the one who best,False,True,False,False,False,False,False,False,36-45,Man,True,topic 5,topic 3,topic 6
74,158,when i came to prison at the age of 23 i was a die hard democratic after 45 of incarceration i can clearly see how the democratic party used and the poor and those of color,politics is not really among many take place with free world,False,True,False,False,False,False,False,False,66+,Woman,True,topic 5,topic 3,topic 6
75,159,i almost didnt have a political view when i got locked up but since then been forced to be around people who are very different from me both racially and culturally and that while there are many between my life and theirs there are many many more fundamental than we all or most of us love our and want to vote for who are going to do the best for them since our personally are pretty much toast now,its a these days but i truly dont see a difference between myself and another person because they are a different color than me to me my race white or its human first then its,False,True,False,False,False,False,False,False,26-35,Man,True,topic 6,topic 5,topic 4
76,160,learned how the world work,unsure,True,False,False,False,False,False,False,False,26-35,Man,True,topic 3,topic 1,topic 5
77,162,now i see how society does not want to give people a chance,not sure how to explain,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 6,topic 1,topic 2
78,163,before being i strongly felt that a woman was not capable of running this great country of ours,because of my racial constantly made aware of the political horizon,True,False,False,False,False,False,False,False,56-65,Man,True,topic 5,topic 2,topic 3
79,166,because my life chang i can see what life is really about now,here in ark its real bad,True,False,False,False,False,False,False,False,36-45,Man,True,topic 4,topic 6,topic 1
80,175,before been i only saw to my own meaning that i the that affected me to be of higher priority now i see that as a community we need to work on to achieve our while helping those around us this change how i see the that our nation today before i used to supporter a particular political party just because they support one that i feel strongly about without about the rest of their political however now i tend to look into what each candidate and not just vote for one party regardless of there,i see from my cultural view of what is right and wrong this belief where in me when i was young and a lot of then were base on racial identification the people i mostly to associated with,False,False,False,False,False,True,False,True,26-35,Man,True,topic 2,topic 4,topic 1
81,177,yeah somewhat i would love to see a lot of change,every time its so much hatred between black and white,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 3,topic 6,topic 1
82,178,i was raised to trust people i was raised in a church and a good home a only child married a good man and had 3 great i thought all was honest in but a lady that worked for us in our grocery store had her husband and the pa made a theatrical play and found us guilty we never any one my husband was dressed from the supreme court his wife was a supreme court justice is that time i was given a new trial and received a life sentence and have been here 40years so yes my political have only god me to survive sorry i so long,no one our from prison no one really about us that can do anything but i thank you for being concerned and g our opinion us ladies would have to have had a few,False,True,False,False,False,False,False,False,66+,Woman,True,topic 5,topic 4,topic 6
83,179,i have become more and more concerned with the fight against the agenda and their hatred against and i am more and more aware of anti and our need as a nation to stand by and with,i am mixed race my racial might influence my on the border,True,True,True,False,False,False,False,False,66+,Man,True,topic 4,topic 1,topic 3
84,180,now i am more concerned with our government and our incarceration it through government,not sure what its cause white does my view of politics change no,False,True,False,False,False,False,False,True,18-25,Woman,True,topic 5,topic 3,topic 6
85,182,well before prison i never political i just to family an took on their political however i research myself now an come to my own upon what my research,i personally dont feel my racial identity is affected but unsure because their may be data to suggest otherwise that i have not,True,False,False,False,False,False,False,False,46-55,Man,True,topic 3,topic 5,topic 1
86,183,trump is out of there,dont know,True,False,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 6,topic 4
87,184,i am more open minded,i base my on the not race,True,False,False,False,False,False,False,False,46-55,Woman,True,topic 1,topic 3,topic 2
88,185,i think it should be someone in their care for their and is willing to help in all,not interest,True,False,False,False,False,False,False,False,36-45,Woman,True,topic 6,topic 3,topic 5
89,186,cause it that all people have a a chance to vote to have a opinion,cause it like no matter what it always to be a race thing,False,True,False,False,False,False,False,False,36-45,Man,True,topic 1,topic 5,topic 6
90,187,the law is just as corrupt as a person that a white collar crime,all are equal as far as i think,False,True,False,False,False,False,False,False,56-65,Man,True,topic 6,topic 3,topic 5
91,188,i know that my political have since being because i came to prison at 20 as a first time offender had never read a book on my own with add was raised in a domestically abusive household and i 10 of severe sexual abuse by my boy scout leader i didnt know what to believe about myself the world and certainly not politics i was more concerned with not being in prison how i would survive facing life without parole with all those and emotionally i wasnt in a place to contemplate those in power outside of those that had hurt me in similar it took me 23 to be able to share the truth about what during the what lead up to them and begin to discover who i am to consider what i would have in someone shaping legislation i think that after fighting to learn and grow there is a inner belief that should fight to keep the government growing too,when i say that my racial identity doesnt inform my political i am saying that my arent through a belief that one race is more politically right or moral than another i believe that we should elect moral men and that can shape law that is informed by varied and scientific information from different as a male whose family tree many different i would prefer to see that objectively shape law based on not subjective that are emotionally swayed by many i think that the more education have in social science and law the better and as the law is suppose to evolve as society does so too should the prison i was raised in a way that no doubt shaped my core we all are yet i believe that the color of a skin little to do with the life that their have shaped around them,False,True,True,False,False,True,False,False,36-45,Man,True,topic 6,topic 2,topic 5
92,189,if we dont vote then we can not complain about who is over our life to vote is a chance,we are by our color we have people in this prison who have done the same or worst some the same lawyer and our color got us the excessive the it whites does not,True,False,False,False,False,False,False,False,46-55,Woman,True,topic 4,topic 1,topic 6
93,192,i still dislike politics in general but i see more of what me and what doesnt,politics about race,False,True,False,False,False,False,False,False,56-65,Man,True,topic 5,topic 3,topic 6
94,195,before i was to prison i was sentence now i see the with the system and i have no faith in them to get it right,if your political outlook is determined by your race then your voting from a skewed sense of right and wrong,False,True,False,False,False,False,False,False,46-55,Man,True,topic 5,topic 2,topic 3
95,196,i have become more conservative in my although i believe people in need should receive assistance life are immoral no one should suffer from hunger,truth morality and right are absolute not subject to racial identity,False,True,False,False,False,False,False,False,56-65,Man,True,topic 1,topic 3,topic 2
96,198,i was not very interested in politics when i was not now i am,it is not about white or black it is more about whats right or wrong,False,True,True,False,False,False,False,False,46-55,Man,True,topic 4,topic 1,topic 5
97,199,my political since being because i have grown a lot since i been being taught me how think first,well i said somewhat because i just feel like that a little i see a lot of that from besides me,True,False,False,False,False,False,False,False,26-35,Man,True,topic 6,topic 2,topic 5
98,200,because when news comes on their either talking about a mass shooting with assault or some police just shot another who was unarmed,being an in our climate today is more of a struggle than it ever been the drug are to high a lot of our people are already as drug dealer gang or thug just because of our culture,True,False,False,False,False,False,False,False,46-55,Man,True,topic 6,topic 5,topic 3
99,201,no need,no answer,False,True,True,False,False,True,False,False,46-55,Man,True,topic 6,topic 5,topic 4
100,203,its because more people are on war and politics then trying to become peaceful and united,i dont judge upon racial,False,True,True,False,False,False,False,False,26-35,Man,True,topic 3,topic 4,topic 5
101,207,and go hand in hand like ignorance and fear walk hand in hand is part of law and reform money is a law and legal as well as thing is about the world better than you found it how can this be done if your not involved in the very foundational thing that a nation great the right to put what you can do into action voting is such a thing,what question is this exactly how does race factor into what is right no matter how tricky the question if your a racist you use race in everything you are the racist if everything in you conversation and mortal life turns on race make no mistake about it if you think it beef soup is mainly beef and what ever you put in is what you get out if you think some is a racist what are you do about it racist have too are also and know when they hear it,False,True,True,False,False,False,False,False,46-55,Man,True,topic 4,topic 3,topic 5
102,208,now that i pay more attention to politics i understand that the and both have good point of when it comes to particular political,because my political nothing to do with race however it a lot to do with the people that are place in certain who abuse their authority or neglect their,True,False,False,False,False,False,False,False,36-45,Man,True,topic 5,topic 2,topic 6
103,212,i am not this question,i get down upon as a racist because i support president trump,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 3,topic 5
104,213,i used to be mostly liberal now conservative,prison its own politics its hard to be unbiased when other are against you only because yours,False,True,False,False,False,False,False,False,46-55,Man,True,topic 2,topic 1,topic 3
105,214,sober now and what is going on out there really to me,the governor of governor of and trump have done more for us than anyone are critical to second,False,True,False,False,False,False,False,False,56-65,Woman,True,topic 6,topic 4,topic 2
106,215,i use to think if you were in prison or had been that you should not have the right to vote,people of color are miss,True,False,True,False,False,True,False,False,56-65,Woman,True,topic 3,topic 6,topic 4
107,219,i no longer believe in life for any offense other than in unusually brutal and depraved either sentence to death or allow a chance for rehabilitation our criminal justice system is the most poorly ran system in affect,there are they assert the most control the race are being in greater ad with longer,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 1,topic 5,topic 4
108,222,i didnt care about politics then,i dont think race is the problem,True,True,True,False,False,False,False,False,36-45,Woman,True,topic 5,topic 3,topic 4
109,223,because i pay more attention to politics since been,because race nothing to do with how well someone can run a country,False,True,False,False,False,False,False,False,36-45,Man,True,topic 6,topic 4,topic 2
110,226,i had totally different about the system before i was i thought the system was fair and the and were righteous not they are bigger than most of the people they lock up they just simply dont prosecute themselves or their,there is just a mentality that you have to be aware of you need to be sure about where you stand racial identity is different from racism,False,True,True,False,False,False,False,False,46-55,Woman,True,topic 2,topic 4,topic 6
111,229,no,cant,False,True,False,False,False,False,False,True,46-55,Woman,True,topic 6,topic 2,topic 5
112,230,over the past 45 of incarceration i have been more aware of politics until this president their been very little thought to rehabilitation or release for focus was on the release of black drug and at a federal level providing them a second chance to repeat the same behavior president trump more on re for those forgotten or left,some are due to being in our country illegally and they oppose the strong necessary border our president to enforce many have the attitude them free passage as well as expense free life style,False,True,False,False,False,False,False,False,66+,Woman,True,topic 6,topic 3,topic 4
113,233,just more aware of the than ever before,each race have their own unique set of,False,True,False,False,False,True,False,False,56-65,Man,True,topic 4,topic 1,topic 5
114,234,trump,not racial,False,False,False,False,False,True,False,False,66+,Man,True,topic 3,topic 5,topic 2
115,235,because if i would of while i was out of prison just one vote never about who got what i do but i will never be able to vote a lifer,not racial at white but that doesnt make me you have to know the person on the prison like other dont hardly have anything like that go on personally get along with all people your skin color doesnt make who you was raised different from taught us there is no one that you should not like,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 3,topic 6,topic 4
116,236,being around in the system we have a lot that should change,there lots of racism here,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 5,topic 3,topic 2
117,238,gotten into some intense political conversation which expanded my,i live in the south now where everything is racially i do not want to be i try to be opposite and try to give a sound opinion on not sure if i live up to that though,False,False,False,False,False,True,False,False,36-45,Man,True,topic 6,topic 5,topic 1
118,239,since been the long seen for people that have to is crazy to people that have violent people with drug do more time then anyone,my political opinion nothing to do with race,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 6,topic 2,topic 5
119,241,i think been in prison my on that needs to be because i have seen the from a different view more willing to try to get by voting and getting my voice,they dont even have my ethnic listed correctly and tried to have it corrected but not done,False,True,True,False,False,False,False,False,46-55,Woman,True,topic 4,topic 1,topic 3
120,245,i have been for almost 30 and have,it doesnt concern color it of people,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 3,topic 1
121,253,now i feel like it doesnt even concern me,a lot of times it just do considering how it at the time,True,False,False,False,False,False,False,False,36-45,Man,True,topic 2,topic 6,topic 5
122,255,yes quite a lot however i cannot type the ill not type anything,that is too hard to answer truthfully and honestly there are too many that do not know anything about our political system they hear the same thing that i used to speak while trying to register as there are very serious that i actually know that i cannot put down on paper the main population of our penal system is and as sad as it it still true when anything is free or with assistance they are all for it i have to quit writing the truth i can get in here,False,True,False,False,False,False,False,False,66+,Man,True,topic 2,topic 6,topic 3
123,256,i came to prison when i was 22 old in 1991 with life with out parole i had not formed any type of political at the time of my imprisonment all of my and have been formed since coming to prison even more so since being to death in 2014,i am a white and over and over i hear the comment that we have to have a conversation about race but when ever a white person is in the conversation and any part of his go against someone of another race i am as or typically white minded or thinking this is true of politics or social,False,True,False,False,False,True,False,False,46-55,Man,True,topic 6,topic 5,topic 4
124,260,i know now people just say what we want to here,we know that black are not love or in this world,True,False,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 6,topic 2
125,263,because after being sent to prison i see on a daily basis how people on the inside of get its almost a constant beat down instead uplifting and people change and being able to change and get a second chance in life sometimes people are forced into or drug use them into that you would not think of doing under normal circumstance i believe anyone can change no matter what they have done in there past and will not repeat the same behavior in the future,we are all human made by one god race sex and religion should not be in any mind we should all get the same treatment of one another,False,True,False,False,False,False,False,False,36-45,Man,True,topic 2,topic 4,topic 5
126,264,i was just 20years old when i came here and never much attention to politics but since i got older and are now in my mid 50 s i tend to watch it more,some people of other view as weak and take advantage of them and are more violent than while some constantly use race to get what they want,False,True,False,False,False,False,False,False,46-55,Man,True,topic 2,topic 3,topic 6
127,266,yes because i learned who god is the way of living,dont want speak on that,True,False,False,False,False,False,False,False,46-55,Man,True,topic 2,topic 3,topic 5
128,269,i once was a democrat however now have become a republican,all people are of the human race,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 6,topic 3
