Primary_Topic_p,Survey_ID,p_change
Views on political parties,2778,[Yes] I was a liberal Democrat I am not a liberal Republican
Need for change in system,8241,The punishment sometimes is too harsh for the crime
Not changed,7597,[No]
Need for change in system,4956,"""""criminal justice reform"""",,,!!!!! This is a political sickness"
Views on political parties,6224,Think about it these Republicans made Donald Trump president of the United Statea of America
I don't know or I don't feel talking about it,413,Because
Education and more info,1459,I've had a lot of time to sit down watch the news and get a better understanding of what's happening in the world
Not changed,2286,No
More interested,7552,[Yes] I'm learning that I might be able to make a difference for the good
More interested,4706,Being incarcerated makes you not only want to change but it kinda of makes you feel like its important for you to be apart of the change and you have nothing but time to educate your-self about stuff that really didnt even matter to you before alot of people who grew up in my neighborhood never expressed or stress to us how important politics are.
Education and more info,1065,I actually get to sit down and see how the world really is
Not changed,2825,[No]
Need for change in system,3856,I beleave the justice system needs help it has lots of falts.  Like two people can do the same crime and one will get like 3 years and then the other one will get 25 i bleave that everyone should be treated equaly no matter what.
Education and more info,2337,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
I don't know or I don't feel talking about it,651,MSN dk
More interested,929,I used to didn't care now I see how it effect everyone
Education and more info,6319,"I am less of a """"traditionalist"""" and more versed in civil, criminal, and constitutional law. I've been doing more studying and reading, thus, have grown more informed."
Views on politics,3514,Yes
More interested,631,Yes but what good are they when you can't vote!
More interested,5251,Becuase im becoming aware of politics now.
Need for change in system,1596,Criminals and the criminal addictive thinkers could always be a lot more conservative per say!
More interested,5542,I want to know what's going on politically.
More interested,3169,It has because i became a felon at a young age barley legal to vote now that i can vote that right is taken away from me because im a felon now but im still a citizen of this country so i feel my opion should count even tho i am a black man i feel we are all equal no skin color or mistakes that u have made in the past affect your future that bad if you are willing to change
Not changed,4533,No
Not changed,3000,[No]
Need for change in system,5274,Yes cause as being incarcerated has made me see a need for change in the justice system. For reform in the laws and education for minority communities to realize that voting makes a difference and we need more political leaders of ethnicity.
Education and more info,1093,I now look at things better.
Experience related to prison or justice system,946,Since being incarcerated my political views have changed a lot because I now realize that having committed an offense is why I am incarcerated. But not being afforded the opportunity to reform or get out is a  systematic processed implemented by governing officials and private businessman who are profiting from my being incarcerated.
Need for change in system,7560,"[Yes] System is broken shattered, but I figure it out along with cycle this time, Along with moral & values of my life"
More interested,3448,It has made me want to vote knowing that my one vote can make a difference in everyones life and future.
Views on political parties,410,I know now that certain political parties are biased against the poor.
Not changed,3603,No opinion
Education and more info,5150,"Yes!  now that i understand politics,  is just a conflict between two parties, who's only concern is their personal agenda. 
"
Need for change in system,4637,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all."
Views on politics,3158,This time around it has made me view some indivudials differently
Less interested or less belief in system,7858,"[Yes] Before incarceration, I wasn't into politics. I felt it didn't matter because whatever happened it wasn't going to benefit my kind of people If we did benefit it would be minimally."
Not changed,2767,Na
Not changed,2776,[No]
Views on political parties,7529,"[Yes] Although I am a Democrat, I notice that republicans are not so bad. That political view came from the conflict the state versus Federal. Something I did not know. I assume it was all one-together but different branches."
Education and more info,1765,Not been mad about who I am
More interested,137,Because there's no political voice speaking up for the incarcerated
Less interested or less belief in system,753,I was never interested in government or the laws before I got incarcerated but after being incarcerated for over two decades I see how important it is to vote the right lawmakers into office.
More interested,942,Yes. I believe the my vote can change the way that prisons are ran.
Less interested or less belief in system,3602,Im more interested
Less interested or less belief in system,377,Before being locked l had no interest in politics
Not changed,7530,[No]
Not changed,1218,No comments
Experience related to prison or justice system,6687,"Because it getting worser for a person being locked up and getting no help to make them better , plus staff that are white treats the non-white prisoners raicist and constantly setting them up for either being placed in the hole or worst a new case."
More interested,5540,"In the end , Saten and all governments accross the world will be no more . But I still want to vote ! _Ù÷Ä"
Views on politics,4658,Fuck yes
Education and more info,2770,"[Yes] Time has made me more optimistic and open to new ideas, people rights and freedoms"
Education and more info,7752,[Yes] Read more and not just vote for who ever family & friends say to vote for
"Personal life, including religion and race",3193,RACE
Experience related to prison or justice system,5535,Cause alot of it affects me
Education and more info,820,NeWS
More interested,2878,[Yes] My views have changed because we as a people have to look past our current situation in life and look at the people that can help us as a people or help our love one to better themselfs in life
Views on politics,1058,"My political view's changed because, I strongly believe that everyone has the right to freedom of speech, no matter what the out come is in your current life!
"
I don't know or I don't feel talking about it,740,I don't have a direct answer
Education and more info,6609,Because i actually watch the news now. Before i didnt know or understand what was going on.
Education and more info,4740,Its gives me another view on how this world really means alot not only that when im gone i wannt my kids to be albe to live life without having to worry about certain things or there skin color
Education and more info,2748,[Yes] First I didn't understand the different branches. I still barely understand the constitution and how it applies to goveronment.
More interested,2899,"[Yes] I'll just say this... since my incarceration, I've learned to be more attenative when it comes to politics."
Views on politics,78,Now I'm more progressive.
Experience related to prison or justice system,3554,I feel like they tell us one thing and do a other
More interested,7525,[Yes] Before coming to prison I didn't have a political view. after being incarcerated my eyes were opened to the injustices on us that made to pay attention to have a view.
Education and more info,814,I learned more about my original political views in detail and realize I was wrong .
Experience related to prison or justice system,583,"Now that I can view politics from being a convicted felon, I can now see the lack of understanding or care for incarcerated individuals."
Views on politics,6655,I just want to beable to put the right people in office because it seem to me that its always about money or war or sending people back to they own conurty and or baning them from the usa....
Not changed,7840,Na
Education and more info,4738,Cause i had time to sit and really listen to what they have to say and how they actions effect us in prison... .
Education and more info,7781,"[Yes] Before being incarcerated I can't necessarily say I had any political views. I may not still be able to articulate my views exactly, but I am more motivated to learn more about politics and to work toward reforming those issues I deem important."
More interested,4384,If more people had a voice maybe there would be changes to benefit the incarcerated
Not changed,7474,[No]
"Personal life, including religion and race",4589,I have realized the idiocracy of the radical left and all of the liberal communist scum.
Need for change in system,4911,Those peaple in charg do not care
Not changed,2969,[No]
Education and more info,4163,"Yes, because will locked up Ive did some research and I see how much political decisions impact the incarcerated and our country."
Need for change in system,226,I had totally different views about the system before I was incarcerated. I thought the system was fair and the cops and prosecutors were righteous - not!!!! They are bigger violators than most of the people they lock up. They just simply don't prosecute themselves or their friends.
Views on politics,5489,On somethings like the intensity of drug charges
More interested,1641,I follow political issues more since incarcerated however I feel like as a felon will have no say so in matters
Views on political parties,1049,My parents always voted Democratic party which is not Wise now days thay are not what that should be that are not for the people ever anymore
More interested,4557,Not careing
Education and more info,506,Maybe it is age but I see through a lot of the propaganda we are exposed to.
More interested,6314,Seeing and hearing what I have from other inmates makes me want to vote to try to get better officials voted in to stop corruption and have a fair and honest legal system.
Need for change in system,7695,I feel as though the penal system chases demographics and relies too heavily on statistics to make informed judgements. Too many umbrella classifucation of crimes.
Experience related to prison or justice system,7799,Ive seen alot of heabus corpus
Not changed,2949,[No]
Education and more info,4859,I now tend to see how much electing the right people can efect change nnation wide and localy
Less interested or less belief in system,1503,Same answer on last essay
Views on political parties,5494,"Im more concerned with the state of our econemy and worried that no matter who is in office ,they're going to screw us over on some level jyst to achieve there own agenda"
Views on politics,454,Yes
More interested,5551,Its made me more aware of decisions or new laws made by the judicial branch But also take a good look at how decisions and what decisions are most important to me
Views on politics,5002,The state goverment only worry about federal finding. For example. In kansas prisons they have built a new lansing prison. It's two man cells in a 6 by ten cell with one storage locker for two guys.
Less interested or less belief in system,255,"Yes. quite a lot.  However I cannot type the truth,so I'll not type anything.

"
Not changed,7787,[No]
Not changed,5030,No
Views on political parties,6791,"     I was more inclined to think more like a Republican, now I am more in the middle leaning to the left."
Less interested or less belief in system,5492,Since being locked up i have started to fear my goverment and lost alot of intrest in politics.
Views on politics,2991,[No] Goverment is needed but wrongly misinterpreted yet somewhat affected by overall in the right direction. The right smart & honest people in the right positions will help lead the world in the right direction.
Views on politicians,5122,I have become.more aware of political divirsities
Need for change in system,556,"All people want to do is incarcerate and not rehabilitate. They don't want to release anyone, just have mass incarceration."
Education and more info,7618,Yes. Realize need to know.my rights
Views on politics,4001,My view on gun control
Education and more info,2317,Yes its changed i've never really mentioned them before
More interested,878,"When I was out before I became incarcerated I didn't pay much attention, I was always on drugs or working "
Need for change in system,3426,"I think that the system flawed, "
"Personal life, including religion and race",2788,I am Roman Catholic and cannot support abortion/death penalty by reason of my devout faith
Education and more info,3064,"Exsperiancing the incarseraited life has opened my eyes , to see the other side i was blind to."
Education and more info,3088,I have more time to watch and learn politics
Experience related to prison or justice system,360,"In prison you get to see society in a different way, and not all is good, so you see everything in a different manner."
Views on politicians,4633,I realy see who is running this county and how. Fake news affects the out come.
Less interested or less belief in system,1604,Makes me not care
Need for change in system,5308,"You see more of what is wrong with the legal system,and what politics have to do with a lot of the choices our government officals make in behalf of inmates across the country"
Views on political parties,384,I identify more with Republicans now
Views on politics,3202,Too many social programs giving no incentive to work
Views on political parties,7040,Before being incarcerated I was a right wing conservative now I am a moderate.
Views on politicians,5865,The impeaching of Donald Trump!
Views on politicians,6643,"They have just changed over time due to the change of presidents. I'm not really into politics but there are things that I do & do not like about the U.S. government. I will say anything that I do not know the exually facts to, so I will stop here."
I don't know or I don't feel talking about it,2495,This would take me way to long to answer I dont feel like typing my answer come talk to me
More interested,1091,I never paid attention to laws or politics until it directly effected me.
More interested,491,I'm sober now and care about people
Views on politics,493,"Yes, my views are always changingn about these things."
More interested,3538,I care more where as before i really didnt care at all
More interested,3495,I am more aware of the issues in the world
More interested,564,I use to not care about prisoners rights
Education and more info,1137,I've watched n learned more on presidency
Views on politics,213,I used to be mostly liberal now I'm conservative
Views on political parties,2222,"I always thought I was a republican. The more I see the news, the more I realise I am a democrat."
Views on politicians,1129,Yes I don't trust politician
Less interested or less belief in system,7435,I dont vote
I don't know or I don't feel talking about it,3872,I dont know the answer
Need for change in system,5459,"Yes, we need to have people in office who can make the system to help us out and not keep us incarcerated."
Need for change in system,6708,I think michigan needs so.e reform on its sentencing and treatment of MDOC prisoners
Need for change in system,4058,Its changed cause i feel that noboby is pushing the priaon reforme in kansas prisons
More interested,4552,I say this becase politics is what runs our nation
Education and more info,4146,Incarceration did not change my views. What i have learned while incarcerated has changed my views. I now have a much more informed perspective from which to opine.
Views on politics,6777,Strong conservative religious beliefs are opperessive to many classes of people.
More interested,3373,"I had no political views before, I never followed politics."
Views on politics,2023,I am now a socialist
Need for change in system,1328,Does nothing for people in prison
Education and more info,3912,I've gotten older and more educated
Less interested or less belief in system,5713,I just dont care anymore
Views on politicians,6906,I never thought about the impact of politics and how much they impact us intell trump started messing with our allies and getting away with so much just because he's president. Some poeple are above the law but i believe congress will file criminal chrages
More interested,1609,I want a voice for fairness and restructuring the criminal laws and sentencing guidelines
More interested,7989,I am more interested now than i used to be
More interested,6624,It is not so much as they have changed as i now realize that the government has more impact on my daily life as a prisoner. I am now more motivated to be involved in lobbying or standing up for the rights of those who do not jave a voice.
Education and more info,4261,"I use to be ignorant with my views as i didn't really look at the issues, i looked at the politicians who would talk as to whether they seemed trustworthy, i now pay attention to the issues and not who is speaking, i do what homework i can."
"Personal life, including religion and race",7048,Yes because im a gang member
Education and more info,6444,I now understand more about the isuess today i.dont pay attenchion on the streets
More interested,3360,"People with the right to vote don't care or aren't informed correctly about what is going on in the country. Because I cannot vote, it's 'why bother' if my voice will not be heard."
Need for change in system,6845,I beleive that the justice system needs to be the same across the board for every state because Montana is very far behind considering i was violated on my parole for something the federal courts have ruled on it being an illegal condition to give to anyone in any state
"Personal life, including religion and race",8186,Because i belive that i should not.be locked up.for.some.petty.ass bs
Views on politicians,3529,I feel more strongly torward who the president should be.
Education and more info,7744,"[Yes] When your incarcerated, time stops, and when that happens you see thing much more clearly than before. And with all this extra time we want and need to be more involved because we have no choice, we are part of the system now."
Need for change in system,8138,"Ive spent 18years out of 41 behind bars. My civics ed. Began wit lewinsky, and i thought it was cool. I didnt understand the setup part, the backstabbing, back biting, philabustering opposition to itself, within itself that the political arena is. It has become a.joke to me. I am desensitized to it. I realize now that judges are not beyond reproach, and adultery is not a presidents privacy concern."
Views on politicians,5292,Ye they have not all politicail people are agains the incacrated but most are
Need for change in system,3733,Its b.s. give one his lashings and let him be. Even if he was wornged or in the wrong. His healing can begin and so may his family and society.  There realy is not a line that is good on one side and bad on the other. The them usally start with the power when they were us. That power lead to the corruption that made them them.
More interested,4982,My vote maters too
Views on politics,6805,"I am now aware of the profit motivated """"get tough on crime"""" bullshit that came out of administrations from both sides in the '90s, and am far more independant in my political views."
Experience related to prison or justice system,3074,"Before i was with prison for all criminals, but now seeing it in person i think thatvthere are alternatives"
Need for change in system,7191,Ive lost faith and intrest in the justice system
Experience related to prison or justice system,5438,"From this position,of 29 years of incarceration, i am able to view the world objectively."
More interested,5650,I value it more now than before.
Views on politicians,6814,I support politicians who truly want to help inmates
Education and more info,1648,"I never realized how many crimes people were needlessly imprisoned for. Nor did I realize how much racism is in the prisons and hatred toward criminals with very little rehab, or counseling services. Nor did I know how much human trafficking had taken over in our own country."
More interested,6821,Yes. They have changed i would like my opinion to count toward something
More interested,6421,Befor becomming incarcerated i had no idea about the importance of politics. I believed that there was a sence of justice. I was wrong there is what is true and what the AG wants to be true. The AG is a political position and each AG needs to be needed. If we look at the rate of incarceration and the rate of crime they are totaly out of order
More interested,4791,Yes my values n my caringness has changed
Need for change in system,5144,It is mostly that there is on justice in the jusyice department
Less interested or less belief in system,6403,Yes in the wrong way
"Personal life, including religion and race",2116,Love
Education and more info,421,Redder
More interested,6279,I honestly was adicted to drugs right out of high school so i didnt care about politics but now im starting to see how messed up our system is
Need for change in system,6100,Ive realized that the courts and jails are messed and they do what they do for profit
Views on politicians,5888,Because of trump
Views on politics,7796,More.conservative
Views on politics,8169,Yes
Views on politicians,6368,"I supported President Bill Clinton before impeachment. I supported President Bush for his """"compassionate conservatism,"""" I withdrew my support of Present Bush when he took this contry to war in Iraq under false pertense. I supported President Obama, however, now in some policy issues I support President Trump."
Need for change in system,6017,Nasty ducks erictiob.with prejusts
Not changed,2351,No
Views on politics,4707,Yes because everything is considered for us people
Not changed,8177,No.......
Views on politicians,770,I don't like the president
Experience related to prison or justice system,2103,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.
"Personal life, including religion and race",2521,"It looks like I am to join one race while incarcerated, thats the political views of others not myself persay."
More interested,2425,Never use to care
Views on politics,2971,[Yes] I was once anti-marijuana but I am not pro-pot.
Education and more info,2337,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
Views on politics,7249,Yea
Experience related to prison or justice system,2397,Treatment towrds inmates from deputys
Need for change in system,3740,That.crimes need a seperate bracket in the.penal system and women can easily now play rape and once deemed a victim of trafficking is a way for most to keep on with out ever being looked at get out of legal system card a flaw its okay to engage in sex with a 16 year old but god for bid you send or recieve a naked flick by the chick child explortation another fucked up way to just get a conviction kansas dont care if you.innnocent if you was first being.looked.at for.jay. walking do to them being corruppt they.just.book you.for.every little.thing.keep you locked up see.the.state.of.kansas has the.lowest reoffender rate becuasee they take all your years by 20. Plus years to make it look good.but.its they make you.stay in longer
More interested,546,I did not care about it when I was out now I can get out but I have no where to go
Education and more info,7545,[Yes] The older I got the more I understand my community and civil business.
More interested,6512,Since being incarerated ive been paying more attention to the.news since i cant vote or voice.my.opinion in public
More interested,5685,Well before. I wasnt. Into politics. Now im very interested.
Need for change in system,943,I want better rights for inmates
Education and more info,2359,News
Education and more info,7949,"Yes. I realized that since being incarcerated, my political view has changed because i am a felon and although ive made a huge mistake it doesnt mean im a horrible person. I am stuck in prison for twenty five years and charged as a juvinile for murder.we now have a mass incarceration since ive been locked up and i am part of the problem.ive learned my lesson but am stagnet in here now just awaiting my lengthy release date. I am stuck doing a long term minumum and the only ones who can change this issue is the government and more than likeky republicans always win.they are against prisoners like myself."
Views on politicians,629,Nehru's
Views on politics,8131,Murder to thos who think wrong obout the goverment....in gods words of speaking...
Education and more info,2204,Watching the news
"Personal life, including religion and race",5296,I mean all the way around..im just a much better man thats all..i have kids to take of of..just time.to man up
More interested,2159,I thinking voting for felons is a big thing. It allows the system to recongition we to have rights and need to be heard. We experience more then what the average person does who hasnt been incarcerated. Knowledge is power. Experience incarcerated is change.
Education and more info,1765,Not been mad about who I am
Views on politics,3263,We all
Views on politicians,3144,It affects us who is in office because of the laws that may possibly be passed
Views on politicians,4524,I sue to think certian president was dumb n racist but i can under stand there point of view
Not changed,3238,No
Views on politics,3202,Too many social programs giving no incentive to work
Experience related to prison or justice system,8031,"My policatl views far supercede the normal, and fluctuate based upon the propaganda i experience daily."
More interested,8076,Wanna be a vote to pick who represents us.
More interested,4016,"Votes matter,you want the right person in office,who has the same beliefs as you do."
More interested,4883,I used not really care
More interested,4008,"I see voting as a right and should not be a previlage, I see people for who they are amd in order to have a voice, you have to vote a closed mouth cant get feed. I need to share my portion I need to be heard."
Education and more info,6681,Yes because i study allot about american history now l.
Views on political parties,2235,Republicans have the most money and stability. I realize i lack these important things supporting democrat
I don't know or I don't feel talking about it,6857,Ok
Views on politics,6126,TRUE
Views on politics,4693,World problems change constantly.
Views on politics,5956,Ya
Views on political parties,2467,"Many killings have been happening, including familys with little kids and babys. Its not ok, i say. Democrats and repoblicans should not be focused on what the president did or did not do. Elswere, to pay attention on ower poeple and the things thats going on around. Goverment has the eye in the sky, why not use it correctly."
Education and more info,6873,I see the importance now of tolerance.
Experience related to prison or justice system,2397,Treatment towrds inmates from deputys
Not changed,2967,[No]
Not changed,4948,No
Need for change in system,5946,They need fix sentencing laws in kansas
More interested,155,"I could have cared less about politics when I was younger. Now I pay more attention to the news and believe that I am better informed to make the decision that I could care less about the politicians that are entrusted with the responsibility of taking care of our country. And we as a country wear our feelings too much on our """"sleeve""""."
Education and more info,8030,"I have had the motivation and the oppertunity to have time to watch and learn about the goverment and to read books and works by political inovators , such as Macivallie's the prince, and this has given me some perspective on how the goverment and the writers of the constitution differ, and how we have strayed from the first idealistic reasons that are form of goverment was founded. I have come to the realization that special interest groups and the continuing practice of career polititions that follow blindly thier partys every view no matter the truth or evidance to the contrary is speedialy causing a country of missinformed and blindly following sycophants that listen to half storys or oppinion clouded views and follow with rightuos indignation to what they think they know and have no-one to lead them to stop and examin easily found nonbiased reports and studies (for example """"that sex offenders are a high risk to re-offend and need to have a means, sex offender registration, to help law enforcement keep tr"
Views on politics,3005,[Yes]
Views on politics,2471,Yes
More interested,5611,I want to know what's going on in politics.
Experience related to prison or justice system,2198,As i was a minor when i got locked up i us to think government and the legal system was here to help and serve justice but there not its to help keep the white rich safe and get rid of the non white poor by mass incarceration
Education and more info,8225,Because i watched more news.
I don't know or I don't feel talking about it,6017,Nasty ducks erictiob.with prejusts
Education and more info,3493,Been watching more news on the impeachment and how the presedent is treating people unfairely in mexico and everywere he dont care about noyhing but him self
Views on politics,7249,Yea
I don't know or I don't feel talking about it,3044,Don't know
Need for change in system,4637,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all."
Views on politics,3202,Too many social programs giving no incentive to work
I don't know or I don't feel talking about it,8187,Hokey aset to
Need for change in system,1986,Because of all the injustice done by all these guys in the inside.
"Personal life, including religion and race",2116,Love
Experience related to prison or justice system,4483,"I have matured and seen from a different angle the treatment that those who are incarcerated face. People out there think that for petty crimes the offender should serve prison time, not knowing the full extent of what a prison sentence would do to a person for any period of time."
Views on politicians,8149,Donald trumo.masd are contry great agaian
I don't know or I don't feel talking about it,6857,Ok
Not changed,2351,No
More interested,546,I did not care about it when I was out now I can get out but I have no where to go
Less interested or less belief in system,8105,I mostly dont really care so much anymore my opinion on the subject dosent matter since i cant vote.
Education and more info,3770,To be honest yes it has changed my political views in the regard that i am so much more informed now. I dont just listen to what others say i am able to do my researh and to learn truely like in the current presidential debates what the canidates for persident really stand for and even more so what i stand for and what i believe we as a country stand for untied
Experience related to prison or justice system,8031,"My policatl views far supercede the normal, and fluctuate based upon the propaganda i experience daily."
Views on politics,1245,Yes
Not changed,8177,No.......
Education and more info,7747,The was is the
I don't know or I don't feel talking about it,4893,I rsther keep to myself
Not changed,4065,No
"Personal life, including religion and race",2500,It wasnt until prison that i unfornately became racist against the black community which ironically was a.race that i predominately hung out with during my chidlhood. Ive become more of a left wing republican who agrees more with trump than obama. Each country is their own country and each have their own laws and beliefs. We americans dont migrate to other countries and make demands to change their laws and demand rights for our beliefs. If not a.natural born citizen/legitimate proud american that want to live here then accept who we.are or stay where your at. Simple as that
More interested,6310,Because i have a hard time understanding how being in prison makes you less of a citizen and unable to vote like any other citizen who is not in prison.we are less of a person because we made some mistakes
Education and more info,2359,News
Education and more info,421,Redder
Not changed,2529,Na.
"Personal life, including religion and race",7562,[Yes] I realized that most are in it for the $ not to make America the best place on Earth! That cop who killed that man who she thought was in her house got 10 yrs! Had a black woman/man did that they would never see the light of day ever again!
Not changed,8040,NOT REALLY
Not changed,2151,No
Views on politics,8131,Murder to thos who think wrong obout the goverment....in gods words of speaking...
Views on politicians,5100,Not all politicians should hold office
Views on politics,2528,Theyve changed.aloy
I don't know or I don't feel talking about it,5673,I cant at this time
Views on political parties,2235,Republicans have the most money and stability. I realize i lack these important things supporting democrat
Views on politics,3029,Yes
Views on politics,3526,Yes
Education and more info,421,Redder
Views on political parties,1113,"I am a registered democrate, raised in a predomanantly Catholic town full of staunch
Democrats. My envirorment formed my political bias from a very young age. However, in prison I have seen the republican government take some turns that pleased me."
Education and more info,6760,More time on my hands to watch tv so see more on politics
More interested,546,I did not care about it when I was out now I can get out but I have no where to go
More interested,6981,Since bein incarcerrated I am only labeled as a number an not a voice important enough for a vote.
Education and more info,6743,I just watch more news while being incarcarated but really feel judged that we can't vote or stand up for our rights.
More interested,5644,"I can't vote, it doesn't pertain to a right I don't have."
Not changed,5112,No
Experience related to prison or justice system,8031,"My policatl views far supercede the normal, and fluctuate based upon the propaganda i experience daily."
More interested,2001,I feel like its important to do my part in what happens to this country.
