Views on politics,Strong conservative religious beliefs are opperessive to many classes of people.
Education and more info,Its gives me another view on how this world really means alot not only that when im gone i wannt my kids to be albe to live life without having to worry about certain things or there skin color
Views on politics,Have
Views on politics,World problems change constantly.
Views on political parties,"[Yes] Although I am a Democrat, I notice that republicans are not so bad. That political view came from the conflict the state versus Federal. Something I did not know. I assume it was all one-together but different branches."
More interested,Before being locked l had no interest in politics
Views on political parties,Before being incarcerated I was a right wing conservative now I am a moderate.
Views on political parties,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country
Experience related to prison or justice system,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
I don't know or I don't feel talking about it,MSN dk
Experience related to prison or justice system,Because i have had more time to watch and learn new ways about our country being sober.
Views on political parties,I recognized as a Dem before and then as the years went by I started see things from an inside looking out view and seeing what they really represent and removing my racial identity from the equation and maturing and wanting certain things stopped or started.
More interested,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.
Views on politicians,"There is no polititian that doesn't have a self agenda, anything to make him or herself an kind of money for self and the super rich."
Education and more info,I know whats real
Views on political parties,My parents always voted Democratic party which is not Wise now days thay are not what that should be that are not for the people ever anymore
Need for change in system,Cuz it's hard to have people find a solution to mass incarsratin that don't get a first hand view of it and how are system is rigged
Education and more info,I am more informed on certain issues. I never paid attention before.
I don't know or I don't feel talking about it,
More interested,Never use to care
Education and more info,Not been mad about who I am
Not changed,[No]
"Personal life, including religion and race",My crime
"Personal life, including religion and race","I am mexican. I believe us mexicans should stop killing each other and unite and take our land back from the united states. If we can , take down this crooked greedy government, and destroy these prisons. Thats just a dream of mine though. Itll never happen. "
Views on political parties,Republicans have the most money and stability. I realize i lack these important things supporting democrat
More interested,[Yes] I'm learning that I might be able to make a difference for the good
Experience related to prison or justice system,Since being incarcerated my political views have changed a lot because I now realize that having committed an offense is why I am incarcerated. But not being afforded the opportunity to reform or get out is a  systematic processed implemented by governing officials and private businessman who are profiting from my being incarcerated.
"Personal life, including religion and race",Every body frim any race they just want to team up to survive or they need sone kind of support to make it but i dont
More interested,I have been made more aware of how much we struggle socially
Views on politics,The state goverment only worry about federal finding. For example. In kansas prisons they have built a new lansing prison. It's two man cells in a 6 by ten cell with one storage locker for two guys.
Views on political parties,I am a registerd demacrat and i deal with prison politics all day long so i go by what i belive i helped put donald trump in office and id do it again in a heart beat he is what we need leave the man to do his job and stop trying to bring him down over fictional facts
More interested,Im more aware
Not changed,No
More interested,"I had no political views before, I never followed politics."
"Personal life, including religion and race",[Yes] I realized that most are in it for the $ not to make America the best place on Earth! That cop who killed that man who she thought was in her house got 10 yrs! Had a black woman/man did that they would never see the light of day ever again!
Need for change in system,I see the politics involved and the multimillion dollars being made off people who chose the wrong path or dealt a bad hand
More interested,Now that I can't vote I would love to but not for my interest
Education and more info,Science
Education and more info,I can sit down an watch it more now
Not changed,No
Experience related to prison or justice system,The state puts me in a privately owned dwelling the prisons are privately ran and owned?? Over misdemeanor crimes on christmas...charges me to be here and im cold and hungry??
Need for change in system,The incarceration laws
Not changed,No
Views on politics,No peace
Views on politics,They only care about the rich not the poor.
More interested,I say this becase politics is what runs our nation
Not changed,[No]
Views on politics,I just want to beable to put the right people in office because it seem to me that its always about money or war or sending people back to they own conurty and or baning them from the usa....
Experience related to prison or justice system,People on the outside don't see what really goes on in prison. It's way different when youre doing time in prison then when you just see or read about it.
Education and more info,Well being in this place you see tinghs more diferent
Not changed,[No]
Need for change in system,My judicial system is poison
Less interested or less belief in system,"Yes. quite a lot.  However I cannot type the truth,so I'll not type anything.

"
More interested,Well before. I wasnt. Into politics. Now im very interested.
Education and more info,"I use to be ignorant with my views as i didn't really look at the issues, i looked at the politicians who would talk as to whether they seemed trustworthy, i now pay attention to the issues and not who is speaking, i do what homework i can."
More interested,I used not really care
Education and more info,Because I feel that I have more empathy for people who are struggling and a greater understanding of what it feels like to have no say in the world around you. Also I have had alot of time to think on my own ideas of solutions to issues like prison reform.
Less interested or less belief in system,"Nobody seems to care, even where a person gives up everything to find a way to deal with the crimes that sent him to prison. "
More interested,I never really had a political view till i came to prison an now i have started to pay more attion to it
Views on politics,Ya
Education and more info,[Yes] I been incarcerated 18 yrs and I do my own studies and I'm in college so I have learnt a lot of things which help develop a more in depth look at life
Not changed,Na
Views on politicians,I sue to think certian president was dumb n racist but i can under stand there point of view
More interested,I used to didn't care now I see how it effect everyone
Views on politicians,Donald trumo.masd are contry great agaian
Education and more info,Ii was a juvenile when incarcerated. Naturally things have changed
Experience related to prison or justice system,As i was a minor when i got locked up i us to think government and the legal system was here to help and serve justice but there not its to help keep the white rich safe and get rid of the non white poor by mass incarceration
I don't know or I don't feel talking about it,I cant at this time
Need for change in system,Not everything is fair
Education and more info,[Yes] See things in a new light that I never saw from where I was in society.
Less interested or less belief in system,I dont think my opinion count.
More interested,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.
Views on politicians,"Yes,because I grew up in a time where the things that are going on in this generation were non-existant back in the eighties,although one thing that's always been true is the level of Racism here in the United States and in other places. And it seems like our presidents are doing nothing about it,but then again we have a little thing called freedom of expression. And it just seems to me that the fat cats in office are just worried about who's got the deepest pockets,and there for Money talks and Bullshit walks."
More interested,"When I was out before I became incarcerated I didn't pay much attention, I was always on drugs or working "
Not changed,[No]
Views on politicians,"It made me to see the vivid picture of how the laws are enforced. mostly, because only littleman get the measure of punishment, and also that the people making the laws are totally disconnected with reality of the impact of these laws. Most elected officials oblivious of what actually is happening, and they only want to please their party base.
"
More interested,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government."
Views on politicians,Yes it makes me think that people in politics actually see us as humans
Not changed,[No]
Views on politics,I see how politics has minipulated people throughout our nation
Need for change in system,They need fix sentencing laws in kansas
Not changed,No
"Personal life, including religion and race","When I came to prison I was 17 years old. All of my political views revolved around my self interests. Now my politics are influenced by values that I have conciously decided to live my life by. First and foremost, Jesus Christ."
Experience related to prison or justice system,"Now that I can view politics from being a convicted felon, I can now see the lack of understanding or care for incarcerated individuals."
Need for change in system,"Yes. I realized that since being incarcerated, my political view has changed because i am a felon and although ive made a huge mistake it doesnt mean im a horrible person. I am stuck in prison for twenty five years and charged as a juvinile for murder.we now have a mass incarceration since ive been locked up and i am part of the problem.ive learned my lesson but am stagnet in here now just awaiting my lengthy release date. I am stuck doing a long term minumum and the only ones who can change this issue is the government and more than likeky republicans always win.they are against prisoners like myself."
"Personal life, including religion and race","I now know that those in power only seek to divide us. Yet they claim to desire to unite us. What ever happened to """"one nation,under GOD""""?"
I don't know or I don't feel talking about it,Nehru's
Education and more info,Yes i look into things more
Views on politicians,"News media and politicians spend to much time on crime and the negative side of it for ratings, elections, and political influence.

They should be looking at root causes and how to help, and i mean real help not the kind that just looks good on paper. People should be being prepared to go back out into communities from the first day they walk through prison doors.

Locking people up and throwing away the key no matter what they have done is not the answer and we have created big bussiness from this. Instead of being people we have become less than human and money on the foot.

There are other issues with this that i would be more than happy to talk to someone with."
Experience related to prison or justice system,Ive seen alot of heabus corpus
Education and more info,Yes.  Prior to my incarceration I had no idea of the impact politics plays on the whole crime and punishment issue.  Now I understand that locking up people is one of the greatest tools a politician has to keeping himself employed at an inordinately high pay scale for mostly useless work.  Politicians spend an awful lot of money feeding other countries' incomes and helping wealthy Americans stay wealthy while bleeding the lower and middle class families' incomes dry.  They are exceptionally good at creating ways to keep incarcerated people incarcerated and growing the number of people incarcerated in order to fuel the American prison industry.  What they are clearly not willing to do is find ways to get people out of prisons and back into society as productive citizens. Kansas is a good example.  A person convicted of a murder has to perform nearly impossible feats to have any hope at all of getting out of prison alive.  Yet Lifers on average have an unbelievably lower recidivism rate than any other group. Kansas is a good example.  A person convicted of a murder has to perform nearly impossible feats to have any hope at all of getting out of prison alive.  Yet Lifers on average have an unbelievably lower recidivism rate than any other group
Views on political parties,[Yes] I was a liberal Democrat I am not a liberal Republican
Education and more info,Am much more informed now on foreign policy
Not changed,No
Experience related to prison or justice system,"Being incarcerated has changed my political views in many ways. One way is in how the incarcerated is treated on the inside. The fact that mass incarceration is this countries go to for dealing with simple issues such as MARIJUANA, child support, and traffic violations.
Not to mention since being locked up, I tend to pay more attention to whats happening in society and how to effect change."
I don't know or I don't feel talking about it,In a way
Experience related to prison or justice system,Seeing everything thats happening
I don't know or I don't feel talking about it,Tuff
Views on politicians,I have become.more aware of political divirsities
Education and more info,[Yes] I was a Democrat. I recently read the 1994 violent crimes act in which Bill Clinton and Joe Biden sponsored. That has changed my view. That crime bill really hurt the incarcerated.
More interested,Before I didn't care about prisoners reform
More interested,"I see voting as a right and should not be a previlage, I see people for who they are amd in order to have a voice, you have to vote a closed mouth cant get feed. I need to share my portion I need to be heard."
More interested,It's made me awhere of my way of thinking
Views on politics,Alot
Views on politicians,"They have just changed over time due to the change of presidents. I'm not really into politics but there are things that I do & do not like about the U.S. government. I will say anything that I do not know the exually facts to, so I will stop here."
Need for change in system,Due to over crowding it totaly changes the dinamics of housing abilities
More interested,"Well.before i had no interest. Yet having to grow up.and. learn values and self respect it drives you to want to be part, to make a change"
Views on political parties,I used to be very republican inclined yet I now gravitate to democracy
Not changed,No.......
Not changed,No
Education and more info,"Now being older, I can see crouckedness, more in peolpe than before."
More interested,My attitude has changed a lot the way I carry myself as a human being I care a lot more and I don't tolerate a lot of ignorance...
Experience related to prison or justice system,My political views changed since being incarcerated because I have grown a lot since I been incarcerated. Being incarcerated taught me how think first
Education and more info,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views."
Views on political parties,I have been convinced that Republican ways are better
Not changed,No.......
Education and more info,Maybe it is age but I see through a lot of the propaganda we are exposed to.
Experience related to prison or justice system,I didn't listen to or watch politics before I got incarcerated but after seeing the injustice in the system firsthand it made me want to learn more about the people who make our laws
Less interested or less belief in system,Before being locked l had no interest in politics
Need for change in system,My judicial system is poison
Views on politics,I know now people just say what we want to here
Not changed,[No]
More interested,Iam more aware of politics now.
More interested,I care more where as before i really didnt care at all
"Personal life, including religion and race",It wasnt until prison that i unfornately became racist against the black community which ironically was a.race that i predominately hung out with during my chidlhood. Ive become more of a left wing republican who agrees more with trump than obama. Each country is their own country and each have their own laws and beliefs. We americans dont migrate to other countries and make demands to change their laws and demand rights for our beliefs. If not a.natural born citizen/legitimate proud american that want to live here then accept who we.are or stay where your at. Simple as that
Education and more info,Watching the news
Need for change in system,Prison reform and inmate rehabilitatiom
More interested,Becuase im becoming aware of politics now.
Views on political parties,Seeing the true colors of the parties.
Education and more info,"While incarcerated, a person has time to gather knowledge if he or she chooses, pertaining to politics. We learn a lot, see a lot, thus our views change because we have time."
Need for change in system,Its b.s. give one his lashings and let him be. Even if he was wornged or in the wrong. His healing can begin and so may his family and society.  There realy is not a line that is good on one side and bad on the other. The them usally start with the power when they were us. That power lead to the corruption that made them them.
More interested,"I have become more aware of the political world, which has allowed me to become more open minded about certain situations. "
Need for change in system,Please refer to my previous answer.
Education and more info,I have more time to research the issues. The librel interpretation of the constitution has also driven me left. Strict construction of the text is in line with conservatives and nobody likes a freewheeler.
Views on politicians,Yes because of the ways the President does things that are no good for Hispanic people
I don't know or I don't feel talking about it,On
More interested,I need to vote
Education and more info,More time on my hands to watch tv so see more on politics
Not changed,[No]
More interested,I am more aware of the leftist democrats
Views on politics,Yes because there is alot of things that are un fair
"Personal life, including religion and race",I am Roman Catholic and cannot support abortion/death penalty by reason of my devout faith
Views on politicians,"Now i see that nobody really is on our side. Everyone says they are until they become elected, once that happens they forget all about us"
Less interested or less belief in system,I feel that if people like myself n
Experience related to prison or justice system,Yes i see the injustice prisoners go threw and i feel no one is doing nothing about it. Thats the reason why iam a big follower of Paul Wright and his team . He publishes the prison legal news newspaper which i get
Views on politics,Yes because everything is considered for us people
Views on politicians,Because i want my country to get a right president
I don't know or I don't feel talking about it,I rsther keep to myself
"Personal life, including religion and race",I have realized the idiocracy of the radical left and all of the liberal communist scum.
I don't know or I don't feel talking about it,Idk
Not changed,No
More interested,I'm sober now and care about people
Need for change in system,How people decide how laws are applied but reall dont understand how much they put.people thru
Views on politics,They have
Need for change in system,In order for our free world society to change or Uprise for the betterment of our youth that will carryout the Final results of our future
Education and more info,Because i watched more news.
More interested,"No that thing effect me,i have more intrest in politacal views."
Not changed,[No]
Education and more info,I want to know what's going on in politics.
Experience related to prison or justice system,Cause alot of it affects me
More interested,I didn't care about politics then
Views on political parties,Before prison I would've identified with being a Republican  now idk because Republican views frown on convicted felons. IG I'm democrat because I'm a homosexual but idk.
More interested,I need to vote
"Personal life, including religion and race",Love
More interested,"Because before i didn't care enough about political endeavors, i was inmature to understand the vital importance of it."
I don't know or I don't feel talking about it,Andrew
More interested,I think we as a people need to exercise our rights
Need for change in system,"You see more of what is wrong with the legal system,and what politics have to do with a lot of the choices our government officals make in behalf of inmates across the country"
Education and more info,I've gotten older and more educated
Education and more info,I have been able to study further into political leada.
Less interested or less belief in system,The people pay there bill so thay work for the people and that is it.
Education and more info,Well it give me time to see the news and see it more better by talking to diferent people
Not changed,No
Need for change in system,Yes need to.stop drug trafficking. I here for a dui. First time.in jail and have seen many thungs that this syatem needs to.change
Not changed,No
Need for change in system,I had totally different views about the system before I was incarcerated. I thought the system was fair and the cops and prosecutors were righteous - not!!!! They are bigger violators than most of the people they lock up. They just simply don't prosecute themselves or their friends.
Need for change in system,I had respect for the jail system rule but now they lost my respect do to the way they mislead us and the amount of time they keep us here is put of control is like they make up law as they go and abuse them them and not follow them and hang us if we do like it.
Education and more info,[Yes] The older I got the more I understand my community and civil business.
Education and more info,I came to prison when I was 22 years old in 1991 with life with out parole. I had not formed any type of political opinions at the time of my imprisonment. All of my thoughts and opinions have been formed since coming to prison. Even more so since being sentenced to death in 2014.
More interested,Yes bevause i lack acknowledgement because i dont have the right to vote
More interested,"I could have cared less about politics when I was younger. Now I pay more attention to the news and believe that I am better informed to make the decision that I could care less about the politicians that are entrusted with the responsibility of taking care of our country. And we as a country wear our feelings too much on our """"sleeve""""."
More interested,"Yes, i have been paying more attention to the government news"
Views on politics,Yes
More interested,It has because i became a felon at a young age barley legal to vote now that i can vote that right is taken away from me because im a felon now but im still a citizen of this country so i feel my opion should count even tho i am a black man i feel we are all equal no skin color or mistakes that u have made in the past affect your future that bad if you are willing to change
Need for change in system,Yes because I want laws for the incarcerated to change.
Education and more info,"Yes, because will locked up Ive did some research and I see how much political decisions impact the incarcerated and our country."
Need for change in system,Being in prison let's you see things in a different light. I can see injustice done throughout the justice system in Arkansas. Seems as the courts sentences are not time structured fairly. Examples being downloading and viewing child porn holds as much time as or more time as manslaughter or murder.
Views on politics,I dont agree with our law enforcement
Views on politics,aALL THE MORE REASON FOR GUN CONTROL!!!
Views on politics,Yes
Education and more info,[Yes] I now have political views and opinions of how I want things to be. I now understand how politics affect my life
More interested,"In the end , Saten and all governments accross the world will be no more . But I still want to vote ! _Ù÷Ä"
Not changed,Agian no
Less interested or less belief in system,Since being locked up i have started to fear my goverment and lost alot of intrest in politics.
Views on political parties,Republicans have the most money and stability. I realize i lack these important things supporting democrat
Views on political parties,I know now that certain political parties are biased against the poor.
Experience related to prison or justice system,Yes it has because im seeing things first hand
Need for change in system,Treat people equally.  Spend more time in court the first time and get tjings correct
Less interested or less belief in system,Makes me not care
I don't know or I don't feel talking about it,Okokok
Views on politics,Murder to thos who think wrong obout the goverment....in gods words of speaking...
Not changed,No
Views on politics,Now I'm more progressive.
Not changed,No
Education and more info,I have taught myself to become A book writer.
Need for change in system,No sex labels no parole no kasper and NO REGISTRATION.
Education and more info,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
Education and more info,Yes because now i have a more understanding about politicals because i see it every day on the news and how the people suraunding me talk and how it impacts them
More interested,My vote maters too
"Personal life, including religion and race",Black's don't matter
Views on politics,Our gov. Of our great state of cali.knocked alot of time off our sentance for mile stones going to school ect.ect.
Need for change in system,Some people are wrong in some inputs
Education and more info,They have I change because I actually have had a chance to sit down and really see what politics about and how it matters so much
Views on political parties,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country
Views on politicians,I feel more strongly torward who the president should be.
Views on politics,Yes
Less interested or less belief in system,I'm leaving this country like a sailor leaves a sinking ship.
More interested,I am more aware of the issues in the world
Education and more info,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
Views on politics,We all
More interested,Now i care
Not changed,Not really
Education and more info,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c"
Less interested or less belief in system,Yes and no they are making time harder to do
More interested,"I had no political views before, I never followed politics."
Education and more info,"It has opened my eyes to alot of things that go on in our society, im not sure if i had political views before being incarcerated, but i have many different views now."
Education and more info,It has made me open my eyes to the all around corruption of the political system.
Education and more info,I learned more about my original political views in detail and realize I was wrong .
Need for change in system,In the amount of time spent there has been an outragious number of shooting's due to gun violence a major here.
More interested,It is not so much as they have changed as i now realize that the government has more impact on my daily life as a prisoner. I am now more motivated to be involved in lobbying or standing up for the rights of those who do not jave a voice.
Views on politics,The laws are getting better
Less interested or less belief in system,Same answer on last essay
Education and more info,I now understand more about the isuess today i.dont pay attenchion on the streets
More interested,I used not really care
Views on political parties,"[Yes] I tend now to highly favor the views of Republicans and what they stand for, and their views."
Education and more info,Is different view
Education and more info,More time to sit down and watch news and get answers
"Personal life, including religion and race",Yes because im a gang member
More interested,Want to help make change
More interested,"Because growing up only that, That concerned our community did we care about not who the President is or who going to be next to try and seperate our families"
Education and more info,To be honest yes it has changed my political views in the regard that i am so much more informed now. I dont just listen to what others say i am able to do my researh and to learn truely like in the current presidential debates what the canidates for persident really stand for and even more so what i stand for and what i believe we as a country stand for untied
Education and more info,Not been mad about who I am
Education and more info,I used to say people in prison should be here but being here some people should have a second chance and the system doesn't forgive
More interested,Before I came to prison I never was into political decided
Need for change in system,Yes to manny child molesters in thegoverment
Less interested or less belief in system,They dont give a fuck about us
Education and more info,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
Need for change in system,Its changed cause i feel that noboby is pushing the priaon reforme in kansas prisons
Need for change in system,Nasty ducks erictiob.with prejusts
Education and more info,News
Need for change in system,The system is corroupt
More interested,"Votes matter,you want the right person in office,who has the same beliefs as you do."
Education and more info,I use to belive that all persons convicted serve their entire sentence. Then i experienced unlawful acts against me that placed me in prison for 40 years and then physically forced to serve 40years and a day.
Not changed,No
Education and more info,I now look at things better.
Less interested or less belief in system,"[Yes] Before incarceration, I wasn't into politics. I felt it didn't matter because whatever happened it wasn't going to benefit my kind of people If we did benefit it would be minimally."
Views on politics,On somethings like the intensity of drug charges
Need for change in system,Made me realize that the government doesn't care about us it's all about money
Education and more info,"Yes!  now that i understand politics,  is just a conflict between two parties, who's only concern is their personal agenda. 
"
Experience related to prison or justice system,I have seen first hand the issuses with prison reform and the plight of the mentally ill
Need for change in system,Yes cause as being incarcerated has made me see a need for change in the justice system. For reform in the laws and education for minority communities to realize that voting makes a difference and we need more political leaders of ethnicity.
Experience related to prison or justice system,I watch things unfold more clearly in prison then i do when im all busy amd working on the streets
I don't know or I don't feel talking about it,Majab
"Personal life, including religion and race",Yes because im a gang member
More interested,I use to not care about prisoners rights
Education and more info,"I never realized how many crimes people were needlessly imprisoned for. Nor did I realize how much racism is in the prisons and hatred toward criminals with very little rehab, or counseling services. Nor did I know how much human trafficking had taken over in our own country."
Less interested or less belief in system,I just dont care anymore
More interested,Befor becomming incarcerated i had no idea about the importance of politics. I believed that there was a sence of justice. I was wrong there is what is true and what the AG wants to be true. The AG is a political position and each AG needs to be needed. If we look at the rate of incarceration and the rate of crime they are totaly out of order
Views on politics,I'm more for people who are willing to help us in the system.
Views on politicians,Not all politicians should hold office
Education and more info,Being Locked up gives you  different perspective
Not changed,[No]
Education and more info,As a young man coming into the system i had no concern about the politics that controlled the do's and don'ts of my life. Since coming to prison i started taking notice of the economical statistics and worldly views ofthe opinions of my fellow people
Views on politics,Yes alot
Views on political parties,"I am a registered democrate, raised in a predomanantly Catholic town full of staunch
Democrats. My envirorment formed my political bias from a very young age. However, in prison I have seen the republican government take some turns that pleased me."
Views on politicians,We are just a number to all politicians and are used for political gain
Less interested or less belief in system,Yes in the wrong way
Education and more info,I know more about politics.
More interested,Yes. I believe the my vote can change the way that prisons are ran.
I don't know or I don't feel talking about it,Id rather not share
More interested,Im more aware of whats going on in my country i actually care now
I don't know or I don't feel talking about it,No i cant explain
Need for change in system,I feel as though the penal system chases demographics and relies too heavily on statistics to make informed judgements. Too many umbrella classifucation of crimes.
Need for change in system,Yes i think that laws should be differnt or pertain more to where you come from and not so much as a general thing.
Experience related to prison or justice system,Yes.therr things people never see until you come to prison.there are definately some things need tweeking.
